Title,Author,ISBN Valid,Publisher,Subjects,i,Publication_Date,Category
Chaussettes : 20 modèles à tricoter toute l'année /,"Laitinen, Niina 19..-....",9782383381372,La Plage,Bas et chaussettes; Tricot;Modèles; Manuels d'amateurs,30,2023,Chaussettes; Manuels; Modèles; Tricot
Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] /,"Johnson, Wendy",9782212675504,Eyrolles,Bas et chaussettes;Tricot;Modèles; Guides pratiques,31,,Chaussettes; Guides; Modèles; Tricot
Le métier de sociologue : préalables épistémologiques /,"Bourdieu, Pierre",9782713228209,Éditions EHESS,Sociologues; Sociologie;Méthodologie; Sociologie;Pratique; Épistémologie de la sociologie; Sociology;Methodology; Sociologie;Méthodologie.,32,2021,Sociology
Le dahlia noir /,Matz,9782203045682,Payot & Rivages; Casterman,Bandes dessinées,33,2013,Comics
Le bleu est une couleur chaude /,"Maroh, Julie",9782723467834,Glénat,Homosexualité; Lesbianisme; Bandes dessinées,34,2010,Comics
"Dictionnaire de la pensée politique : idées, doctrines et philosophes /","Nay, Olivier 1968-....",9782247060009,Armand Colin,Idées politiques; Philosophie politique; doctrine politique;[dictionnaire]; science politique;[dictionnaire]; philosophie politique;[dictionnaire]; Dictionnaires,35,2005,Philosophy; Politics; Science
Roger et ses humains /,Paka (1985-....),9782800164199,Dupuis,Robots; Ouvrages pour la jeunesse; Bandes dessinées,36,2015,Comics
"Simenon, l'Ostrogoth /","Bocquet, José-Louis",9782505120094,Dargaud,"Bandes dessinées; Simenon, Georges",37,2023,Comics
Géostratégix /,"Boniface, Pascal",9782100830824,Dunod,Géopolitique.; Relations internationales.; Bandes dessinées,38,,Comics; Politics
Partir : sur les chemins de Compostelle /,"Sohn, Lili",9782203221918,Casterman,Chemins de Saint-Jacques,39,2022,Chemins
Peau d'homme /,"Hubert, 1971-",9782344010648,Glénat,Mariages royaux et nobles;Renaissance; Différences entre sexes; Bandes dessinées,40,2020,Comics
Morgane /,"Fert, Stéphane",9782756070056,Delcourt,[Bandes dessinées],41,2016,Comics
Le monde de Sophie /,"Zabus, Vincent 1971-....",9782226475978,Albin Michel,Philosophie; Bandes dessinées,42,2023,Comics; Philosophy
Suisse,,9782067261730,Michelin,Suisse; Guides touristiques et de visite,43,,Guides; Suisse
Tokyo tarareba girls /,"Higashimura, Akiko 1975",9782353481903,Le Lézard Noir,Bandes dessinées; Mangas,44,2020,Comics
Yotsuba & ! /,"Azuma, Kiyohiko",9782351420713,Kurokawa,Mangas;Japon; Bandes dessinées; Ouvrages pour la jeunesse; Mangas,45,2006,Comics
Le monde sans fin /,"Jancovici, Jean-Marc",9782205088168,Dargaud,Climate Change; Environmental Health; Environment and Public Health; Energy-Generating Resources; Graphic Novel; Changements climatiques; Changement global de l'environnement; Ressources énergétiques; Vulgarisation scientifique; Transition énergétique; Réchauffement de la Terre; Bandes dessinées,46,2021,Comics
La Fille à la moto /,"Suzuki, Ôji",9782889231164,Atrabile Editions,,47,,
Seuls en exil /,"Menor, Fabian",9782940673773,Helvetiq,Immigrés;Suisse; Bandes dessinées,48,2022,Comics
Coming in /,"Font, Elodie",9782228929097,Arte Editions; Editions Payot & Rivages,"Homosexuality;psychology; Homosexuality, Female;psychology; Self Concept; Graphic Novel; Homosexualité; Coming out; Acceptation de soi; Lesbianisme; Lesbiennes; Romans graphiques",49,2021,Fiction; Psychology
Les héros de l'étoffe : la fabuleuse histoire du textile /,"Laliberté, Séverine, 1973-",9782368465196,Cité sciences et industrie; Steinkis,Vêtements;Histoire; Mode;Histoire; Textiles et tissus;Histoire; Bandes dessinées,50,2022,Comics; History
Le bébé des Buttes-Chaumont /,"Tardi, Jacques",9782203013131,Casterman,Bandes dessinées,51,2022,Comics
Ascension /,"Sakamoto, Shin'ichi, 1972-",9782756016641,Delcourt,Bandes dessinées; Mangas,52,2010,Comics
Fullmetal alchemist /,"Arakawa, Hiromu, 1973-",9782351420171,Kurokawa,Shônen; Mangas; Bandes dessinées,53,2005,Comics
Pil /,"Yamazaki, Mari",9782203066427,Casterman,Bandes dessinées; Mangas,54,2013,Comics
Goán tau chez moi /,"Li-Chin, Li 1973-....",9782369902966,Çà et là,Bandes dessinées,55,,Comics
Soixante printemps en hiver /,"Jongh, Aimée de, 1988-",9791034747375,Dupuis,Minorités sexuelles; Bandes dessinées,56,,Comics
Python pour les SHS : introduction à la programmation pour le traitement de données /,"Schultz, Emilien, 1987-",9782753581067,Presses universitaires de Rennes,Sciences humaines;Recherche;Informatique; Sciences sociales;Informatique; Python (langage de programmation); Python (Computer program language),57,2021,Language; Science; Social Science
A silent voice /,"Oima, Yoshitoki, 1989-",9782355927713,Ki-oon,Surdité; Harcèlement en milieu scolaire; Mangas; Bandes dessinées,58,2015,Comics
L'appel de Néron /,"Yamazaki, Mari",9782203132436,Castermann,Bandes dessinées,59,2017,Comics
"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance... /",Article 19,9782416007279,Editions Eyrolles,Internet; Internet;Gestion; Internet;Droit; Systèmes informatiques;Mesures de sûreté,60,,Law
Hoodoo darlin' /,"Bischoff, Léonie",9782203047037,KSTR-Casterman,Bandes dessinées,61,,Comics
Les médias en Suisse /,"Haver, Gianni",9782606021603,Editions Loisirs et Pédagogie,Médias;Suisse; Médias et opinion publique; Société médiatique; Médias;Histoire,62,2022,History
Bonjour Bonsoir /,Vamille,9782889084517,La Joie de lire,Bandes dessinées,63,2019,Comics
Journal inquiet d'Istanbul /,"Karabulut, Ersin",9782205085761,Dargaud,Bandes dessinées,64,,Comics
Le design des bibliothèques publiques  /,"Beudon, Nicolas",9791092272406,Editions Klog,Libraries; Architecture; Marchandisage; Bibliothèques publiques; Bibliothèques;Activités culturelles; Bibliothèques;Services aux publics; Bibliothèques (constructions);Aménagement,65,2021,Architecture; Bibliothèques; Libraries; Marchandisage
Contrition /,"Portela, Carlos, 1967-.....",9782207169452,Denoël,Délinquants sexuels; Bandes dessinées policières; Bandes dessinées,66,,Comics
Les contraceptés : enquête sur le dernier tabou /,"Daudin, Guillaume",9782368464304,Steinkis,"Contraceptive Devices, Male; Contraception; Contraception masculine; Bandes dessinées; Graphic Novel",67,2021,Comics
Formose /,"Li-Chin, Li 1973-....",9782916207629,Cà et là,Bandes dessinées,68,2011,Comics
Les mers du Sud /,"Migoya, Hernán",9782205207941,Dargaud,Bandes dessinées,69,2023,Comics
Fudafudak : l'endroit qui scintille /,"Li-Chin, Li 1973-....",9782369902362,Cà et là,"Bandes dessinées; Amis (Taiwan people); Comic books, strips, etc.; Graphic novels; Taiwan aborigines;Social life and customs; Amis (Taiwan people);Comic books, strips, etc.; Taiwan aborigines;Social life and customs;Comic books, strips, etc.; Comic books, strips, etc.;Taiwan.; Graphic novels;Taiwan.; Ami (Peuple de Taiwan);Bandes dessinées.; Autochtones;Taiwan;Mœurs et coutumes;Bandes dessinées.; Romans graphiques;Taiwan.; Taiwan; Comics (Graphic works)",70,,Comics; Fiction
Les sentiments du Prince Charles /,"Strömquist, Liv 1978-....",9782878271980,Rackham,Relations hommes-femmes; Bandes dessinées,71,2016,Comics
Le savoir-vivre professionnel : conseils pratiques et usages en Suisse /,"Abplanalp, Susanne",9782606016982,Editions Loisirs et Pédagogie,Sociologie du travail; Relations professionnelles;Suisse;20e siècle; Relations humaines; Savoir-vivre;Guides pratiques,72,2019,Sociology
Le droit du travail en Suisse : 90 questions-réponses issues de la pratique /,"Schwaab, Jean Christophe, 1979-",9782606016135,LEP Loisirs et pédagogie,Droit du travail;Suisse; Arbeitsrecht; Arbeitsvertrag; Schweiz; Lehrmittel; Guides pratiques,73,,Law
Turing à la plage : l'intelligence artificielle dans un transat /,"Guerraoui, Rachid",9782100795550,Dunod,"Informatique quantique; Turing, Alan; Intelligence artificielle",74,2020,Art
GTO : great teacher onizuka /,"Fujisawa, Tohru",9782811609665,Pika,Bandes dessinées; Mangas,75,,Comics
Silver spoon = La cuillère d'argent /,"Arakawa, Hiromu, 1973-",9782351428344,Kurokawa,Bandes dessinées; Mangas,76,,Comics
Ici /,"McGuire, Richard",9782070652440,Gallimard,Bandes dessinées,77,2015,Comics
Fullmetal alchemist /,"Arakawa, Hiromu, 1973-",9782351427552,Kurokawa,Bandes dessinées; Mangas,78,,Comics
La vierge de fer /,"Kishiro, Yukito",9782344018415,Glénat,Bandes dessinées; Mangas,79,2017,Comics
Erased /,"Sanbe, Kei",9782355926990,Ki-oon,Mangas; Bandes dessinées,80,2014,Comics
Kokkoku /,"Horio, Seita",9782723498142,Glénat,Bandes dessinées; Mangas,81,2015,Comics
Voleuse /,"Bryon, Lucie",9782377317813,Sarbacane,Bandes dessinées,82,2022,Comics
L'ora del caffè : manuale di conversazione per generazioni incompatibili /,"Carofiglio, Gianrico, 1961-",9788806253219,Einaudi,,83,2022,Family
Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith /,"Ellis, Grace 19..-....",9782702183311,Editions Calmann-Lévy,Bandes dessinées,84,2023,Comics
Monsieur Remarquable /,"Tokarczuk, Olga",9788366789302,Format,,85,2023,
Kimchi baguette : journal de bord d'une Coréenne en France ! /,Silki 1993-....,9782205207958,Dargaud,Bandes dessinées,86,,Comics
Océan express /,"Ayroles, François",9782844149367,L'Association,Bandes dessinées,87,2023,Comics
Le petit robot de bois et la princesse bûche /,"Gauld, Tom",9782211313148,l'École des loisirs,Robots; Frères et soeurs; Livres d'images,88,2021,Frères; Livres; Robots
La mort n'est que le début... de l'enquête du médecin légiste /,"Grabherr, Silke",9782828916404,Favre,Médecine légale; Thanatologie; Cadavres; Forensic Medicine;trends; Autopsy;methods; Switzerland,89,2019,Cadavres; Forensic; Médecine; Thanatologie; Trends
The talk : tu seras toujours un danger à leurs yeux /,"Bell, Darrin 19..-....",9782260056072,Julliard,Bandes dessinées; Conditions sociales;États-Unis; Noirs américains;Violence envers,90,2023,Comics
Kaiju N°8 /,"Matsumoto, Naoya",9782820341075,Kazé,Shônen; Mangas,91,,Mangas; Shônen
Le sablier /,"Ashihara, Hinako",9782505002901,Kana,Bandes dessinées; Mangas,92,2008,Comics
Hirayasumi /,"Shinzo, Keigo, 1987-",9782353482788,Le Lezard noir,Mangas; Mangas.,93,,Mangas
Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle /,"García, Vivien 1983-....",9782743659042,Payot & Rivages,Intelligence artificielle,94,,Art
Des maux à dire /,"Lema, Beatriz 1985-....",9791040802396,Sarbacane,Bandes dessinées; Mères et filles; Maladies mentales; Récits personnels; Romans graphiques,96,2023,Comics; Fiction
Il y a longtemps que je t'aime /,"Spénale, Marie",9782203276505,Casterman,Bandes dessinées,97,2024,Comics
Regarde les lumières mon amour /,"Ernaux, Annie",9782370210371,Seuil,,98,2014,"Authors,"
Peau /,"Versyp, Mieke 1965-....",9782369903093,Çà et là,Bandes dessinées.; Romans graphiques.,99,2022,Fiction
Fruits basket : une corbeille de fruits /,"Takaya, Natsuki",9782840559184,Delcourt,Shojo; Bandes dessinées; Ouvrages pour la jeunesse; Mangas,100,2002,Comics
Orange /,"Takano, Ichigo",9782369740315,Akata,Mangas,101,2014,Mangas
"Manifeste cyborg et autres essais : sciences, fictions, féminismes /","Haraway, Donna Jeanne",9782912969637,Exils Editeur,Anthropologie physique; Sciences et société; Théorie féministe; Technologie;Aspect social; féminisme;[études diverses]; culture;féminisme;nature;science;[études diverses]; Technologie; Identité sexuelle; Race,102,2007,Anthropology; Physics; Science
Bride stories /,"Mori, Kaoru",9782355922749,Ki-oon,Mariage forcé;Asie centrale; Voyage; Mangas,103,2011,Centrale; Mangas; Mariage; Voyage
La littérature : une infographie /,"Gefen, Alexandre professeur de littérature 1970-....",9782271138569,CNRS Éditions,Littérature;Histoire.; Data visualisation.; Ouvrages illustrés.; Ouvrages de vulgarisation.,104,,History
Avec toi /,"Nishi, Keiko 19..-....",9782369747765,Akata,Mangas,105,2019,Mangas
Adieu Eri /,"Fujimoto, Tatsuki",9782820345943,Crunchyroll,Mangas,106,2023,Mangas
A schiovere : vocabolario napoletano di effetti personali /,"De Luca, Erri, 1950-",9788807035746,Feltrinelli,Napolitain (dialecte); Vocabulaires et manuels de conversation,107,,Napolitain; Vocabulaires
Love fragrance /,"Yamada, Kintetsu 19..-....",9782505088066,Kana,Mangas,108,2021,Mangas
Daido Moriyama /,"Moriyama, Daido, 1938-",9782330010782,Actes Sud,"Moriyama, Daido",109,2012,Moriyama
The ancient Magus Bride /,"Yamazaki, Koré",9782372870276,Komikku,Mangas; Bandes dessinées,110,2015,Comics
Love & lies /,Musawo,9782811630850,Pika éd,Bandes dessinées; Mangas,111,2016,Comics
Amanchu! /,"Amano, Kozue",9782355922459,Ki-Oon,Bandes dessinées; Mangas,112,2011,Comics
Eclat(s) d'âme /,"Kamatani, Yuhki",9782369742739,Akata,Transidentité; Violence psychologique; Minorités sexuelles; Shônen; Mangas,113,,Mangas; Minorités; Shônen; Transidentité; Violence
Bâtard /,"Kim, Carnby 19..-....",9791032708484,Ki-oon,Bandes dessinées; Mangas,114,2021,Comics
"Amour, sexe et terre promise : reportage en Israël et Palestine /","Parent-Rachdi, Salomé",9791037511720,Les Arènes,Relations Juifs-Arabes; Conflit israélo-arabe; Récits personnels; Bandes dessinées,115,2024,Comics
Super furax /,"Bertschy, Christophe",9791034732197,Dupuis,Bandes dessinées,116,2020,Comics
La petite fille Bois-Caïman /,"Bourgeon, François",9782356480668,12 bis,Bandes dessinées historiques,117,2009,Comics; History
Le sang des cerises /,"Bourgeon, François",9782413004080,Delcourt,Bandes dessinées historiques,118,2018,Comics; History
Un ami tombé du ciel /,"Lallemand, Orianne, 1972-",9782733892985,Editions Auzou,Livres d'images,119,2021,Livres
La petite bûche /,"Escoffier, Michaël",9782924645314,Éditions d'eux,Création littéraire; Animaux des forêts; Livres d'images,120,2020,Animaux; Création; Livres
Le veilleur de lune /,"Bombace, Aurélie",9782017086864,Gautier-Languereau,,121,2019,
"Schtinki, un sanglier au caractère de cochon : inspiré d’une histoire vraie /","Giorgini, Victoria",9782970156505,Lunidea,,122,2022,
Cache-Lune /,"Puybaret, Eric",9782017124023,Gautier-Languereau,Lune; Entraide; Vol,123,2020,Entraide
Monsieur Paul et le poisson Alfred /,"Neeman, Sylvie 1963-....",9782211321006,l'École des loisirs,Amitié.; Déserts.; Roman pour la jeunesse.; Livres illustrés pour enfants.,124,2022,Fiction
Le voleur de lettres /,"Torti, Dominique",9782970146209,Editions Torti,Lecture;Étude et enseignement (primaire); Apprentissage de l'écriture; Ouvrages pour la jeunesse,125,2022,Education
Je revenais des autres : roman /,"Da Costa, Mélissa",9782226456120,Albin Michel,Roman,126,,Fiction
Recitatif : a story /,"Morrison, Toni, 1931-2019",9780593315033,Alfred A Knopf,,127,2022,Fiction
Hamnet /,"O'Farrell, Maggie",9782714494085,Belfond,[Roman historique],128,2021,Fiction; History
Énigmes : au coeur de la science : résous 25 mystérieuses affaires /,"Gallo, Ana",9782378012069,Saltimbanque éditions,Livres documentaires pour la jeunesse; Sciences;Expériences pour la jeunesse; Livres-jeux,129,2021,Science
Peau de mille bêtes /,"Fert, Stéphane",9782756091723,Delcourt,Bandes dessinées; Femmes;Conditions sociales; Contes détournés,130,2019,Comics
Carbone & Silicium /,"Bablet, Mathieu, 1987-",9791033511960,Ankama,Intelligence artificielle; Bandes dessinées de science-fiction; Bandes dessinées,131,2020,Art; Comics; Fiction; Science
Saga /,"Vaughan, Brian K",9782365772013,Urban Comics,Bandes dessinées,132,2013,Comics
Tant que le café est encore chaud : roman /,"Kawaguchi, Toshikazu 1971-....",9782226458506,Albin Michel,Roman,133,2021,Fiction
Le génie des dys : être dys et haut potentiel à la fois /,"Habib, Michel",9782361067663,Editions Sciences Humaines,Dyspraxie; Dyslexie; Surdoués; Troubles de l'apprentissage; Enfants surdoués; Enfants dyslexiques,134,,Dyslexie; Dyspraxie; Enfants; Surdoués; Troubles
En vadrouille dans Aventicum /,"Tissot, Lucile, archéologue",9782889680498,Infolio,"Rome;30 av. J.-C.-476 (Empire); Ouvrages pour la jeunesse; Avenches (Suisse, VD); Gallo-romains;Suisse; Sites archéologiques",135,2022,Avenches; Empire; Gallo; Ouvrages
Et Dieu riait beaucoup : roman /,"Sfar, Joann",9782226457790,Albin Michel,,136,2023,Jews
Vaud /,"Jobé-Truffé, Virginie",9782365084116,Auzou,Vaud (Suisse); Livres documentaires pour la jeunesse; Atlas; Ouvrages pour la jeunesse,137,,Atlas; Livres; Ouvrages; Suisse
Miracle à la combe aux Aspics /,"Tomić, Ante",9782882506771,Noir sur Blanc,,138,2021,
Un miracle : roman /,"Mas, Victoria",9782226474087,Albin Michel,,139,2022,
Habibi /,"Thompson, Craig, 1975-",9782203003279,Casterman,Bandes dessinées,140,2011,Comics
L'illusion du mal : roman /,"Pulixi, Piergiorgio, 1982-",9782351782774,Gallmeister,,141,2022,
Oublier Gabriel /,"Yoakim-Pasquier, Karine",9782940712045,Editions Torticolis et Frères,Roman suisse de langue française,142,,Fiction; Language
Larmes de renard /,"Salvadore, Matteo 2001-....",9782883871472,Plaisir de Lire,Roman policier suisse de langue française,143,,Fiction; Language
Le monstre poilu /,"Bichonnier, Henriette",9782075160445,Gallimard Jeunesse,Monstres; Roman pour la jeunesse,144,2021,Fiction
Elles : roman /,"De Céspedes, Alba",9782072941795,Gallimard,,145,,
Ne coupez jamais la poire en deux : un manuel redoutable pour négocier gagnant par un négociateur du FBI /,"Voss, Christopher",9782714474346,Belfond,Négociations; Relations humaines; Guides pratiques,146,2018,Guides; Négociations; Relations
La couleur des émotions : un livre tout animé /,"Llenas, Anna",9791026400134,Quatre Fleuves,Émotions; Couleurs; Sens et sensations; Livres animés; [Ouvrages pour la jeunesse]; Ouvrages pour la jeunesse,147,2014,Couleurs; Livres; Ouvrages; Sensations; Émotions
Grèce continentale : + îles Ioniennes et Sporades : 2022-2023,,9782017187820,Hachette,Grèce; Guides touristiques et de visite,148,2022,Grèce; Guides
Lettre à mon dictateur /,Eugène 1969-....,9782832111420,Editions Slatkine,Roumains;Suisse; Roman suisse de langue française; Biographie,149,2022,Biography; Fiction; Language
Escape game au manoir /,"Lescaille, Nathalie",9791036348075,Bayard Jeunesse,,150,,
Le loup en [slip] se les gèle méchamment /,"Lupano, Wilfrid",9782505070405,Dargaud Bénélux,Bandes dessinées,151,2017,Comics
Le loup en [slip] /,"Lupano, Wilfrid",9782505067207,Dargaud Benelux,Loup; Bandes dessinées; Ouvrages pour la jeunesse,152,2016,Comics
Ceux qui restent /,"Lupano, Wilfrid",9782505019930,Dargaud Benelux,Bandes dessinées,153,2014,Comics
Lucine et Enzo : ou le parcours d'un enfant atypique /,Emma dessinatrice 1981-....,9782380353143,Massot Editions,Trouble déficitaire de l'attention avec ou sans hyperactivité; Livres documentaires,154,2021,Livres; Trouble
Celui qui part  /,"Lupano, Wilfrid",9782505063520,Dargaud Benelux,Bandes dessinées,155,2015,Comics
Bonny and Pierrot /,"Lupano, Wilfrid",9782505061632,Dargaud Benelux,Bandes dessinées,156,2014,Comics
Mon cerveau a besoin de lunettes : le TDAH expliqué aux enfants /,"Vincent, Annick, 1965-",9782761958851,Les éditions de l'Homme,Trouble déficitaire de l'attention avec ou sans hyperactivité; Troubles de l'attention;Thérapeutique,157,2022,Thérapeutique; Trouble; Troubles
Le loup en [slip] slip hip hip ! /,"Lupano, Wilfrid",9782505071426,Dargaud Bénélux,Loup; Animaux des forêts; Bandes dessinées,158,2018,Comics
Le coeur en braille /,"Chamblain, Joris, 1984-",9782205086638,Dargaud,Bandes dessinées; Adolescentes handicapées; Handicap; Cécité,159,2023,Comics
Mon cerveau a encore besoin de lunettes : le TDAH chez les adolescents et les adultes : guide pratique pour mieux vivre avec le trouble du déficit de l'attention avec ou sans hyperactivité /,"Vincent, Annick 1965-....",9782761958837,Les Éditions de l'Homme,Troubles de l'attention;Diagnostic; Troubles de l'attention;Thérapeutique; Troubles de l'attention;Aspect génétique; Troubles de l'attention;Chez l'adolescent; Thérapie comportementale pour adolescents; Trouble déficitaire de l'attention avec ou sans hyperactivité; Trouble déficitaire de l'attention chez l'adulte;Ouvrages de vulgarisation.; Trouble déficitaire de l'attention chez l'adolescent;Ouvrages de vulgarisation.; Trouble déficitaire de l'attention;Traitement;Ouvrages de vulgarisation.; Guides pratiques,160,2022,Diagnostic; Thérapeutique; Troubles
Darwin /,"Clot, Christian",9782344007297,Glénat,"Darwin, Charles Robert; Bandes dessinées",161,2016,Comics
Vanité /,"Freudiger, Reynald",9782889562466,Editions de l'Aire,Roman suisse de langue française,162,,Fiction; Language
Ceci n'est pas un fait divers : roman /,"Besson, Philippe",9782260055372,Julliard,Roman,163,2023,Fiction
L'attaque des citrouilles /,"Balpe, Anne-Gaëlle",9782092493892,Nathan,,164,2021,
Mouches /,"Richoz, Mélanie",9782832110904,Éditions Slatkine,"Alzheimer, Maladie d'",165,2022,Alzheimer
Alexandra David-Néel : [les chemins de Lhassa] /,"Perrissin, Christian",9782723498470,Glénat,"David-Néel, Alexandra; Tibet (Chine);20e siècle;Découverte et exploration; Bandes dessinées",166,2016,Comics
Les femmes du bout du monde : roman /,"Da Costa, Mélissa",9782226472724,Albin Michel,Maoris (peuple de Nouvelle-Zélande); Roman français,167,2023,Fiction
Rouge /,"Robert, Claude",9782828921149,Favre,Roman policier; Roman suisse de langue française,168,,Fiction; Language
Galel /,"Desarzens, Fanny",9782832110898,Éditions Slatkine,Amitié; Roman suisse de langue française; Roman,169,2022,Fiction; Language
