i,Title,Author,Publisher,Subjects
1353,La protection du patrimoine bâti : étude de droit fédéral et cantonal /,"Wiedler, Aurélien 19..-....",Stämpfli,Droit; Protection; Patrimoine culturel; Constructions; Architecture; Denkmalschutz; Grundrechtseingriff; Eigentumsgarantie; Wirtschaftsfreiheit; Glaubens- und Gewissensfreiheit; Interessenabwägung; Verhältnismässigkeit; Zumutbarkeit; Denkmal; Bundesinventar; kantonales Inventar; Eintragung; Unterschutzstellung; Bundesrecht; kantonales Recht; Finanzhilfe; Subvention; Verwaltungs- und Verwaltungsgerichtsverfahren; Rechtsvorkehr; Beschwerdelegitimation; Raumplanung und öffentliches Baurecht; Richtplan; Nutzungsplan; Schutzmassnahme; Suisse; Schweiz; Waadt; Freiburg(Kanton); Genf(Kanton); Jura; Neuenburg(Kanton); Wallis; [Thèses et écrits académiques]
1359,Les scolies genevoises de l'Iliade /,,H Georg; Hachette,"Homère.--""Iliade""--[scholies]"
1361,"Ancient and medieval book materials and techniques : (Erice, 18-25 september 1992) /",,Biblioteca apostolica vaticana,livre--papier--Antiquité / Moyen-Âge--[études diverses]
1363,Posthomerica : tradizioni omeriche dall'Antichità al Rinascimento /,,Università di Genova Facoltà di lettere Dipartimento di archeologia filologia classica e loro tradizioni,Homère - réception--Antiquité / Renaissance--[études diverses]
1414,La vieillesse /,"Beauvoir, Simone de 1908-1986",Gallimard,vieillesse
1464,Journal /,"Maine De Biran, Marie-François-Pierre",La Baconnière,
1465,Journal /,"Maine De Biran, Marie-François-Pierre",La Baconnière,
1466,Journal /,"Maine De Biran, Marie-François-Pierre",La Baconnière,
1468,"Cinq cahiers écrits par une petite fille entre sept ans et demi et dix ans, et leurs commentaires /","Bonaparte, Marie",Imago; L'auteur,
1469,A la mémoire des disparus /,"Bonaparte, Marie",Presses univ de France; Imago Publ Co,
1555,Histoire naturelle /,"Plinius Secundus, Caius",Les Belles Lettres,
1562,Travaux sur les systèmes de signes : Ecole de Tartu /,,Ed Complexe,sémiologie--[études diverses]
1581,Le tour d'écrou /,"James, Henry, 1843-1916",La Guilde du livre,
1675,Oeuvres autobiographiques /,"Sand, George",Gallimard,"Sand, George--[biographie]"
1694,Maus : un survivant raconte /,"Spiegelman, Art",Flammarion,[Bandes dessinées]
1695,Maus : un survivant raconte /,"Spiegelman, Art",Flammarion,Bandes dessinées
1718,Théorie pure du droit : introduction à la science du droit /,"Kelsen, Hans, 1881-1973",P Attinger; La Baconnière,philosophie du droit--[manuel]
1789,"Amedeo VIII, 1383-1451 /","Cognasso, Francesco",GB Paravia,Amédée--(duc de Savoie ;--8)
1791,Storia di Milano /,,Fondazione Treccani Degli Alfieri per la storia di Milano,Milan (Italie)--2e millénaire av. J.-C. / 1915
1792,Dictionnaire biographique des médecins en France au Moyen-Age /,"Wickersheimer, Ernest",Droz,médecin--France--Moyen-Âge--[dictionnaire]
1793,La société de cour /,"Elias, Norbert",Calmann-Lévy,cour (monarchie)--société (milieu humain)--France--17e s. / 18e s.; aristocratie--comportement social--France--17e s. / 18e s.
1795,La finanza sabauda nel sec. XIII /,,M Gabetta-Voghera,
1830,Mad honey /,"Picoult, Jodi, 1966-",Hodder & Stoughton,
1834,The bookbinder of Jericho /,"Williams, Pip",Chatto & Windus,"Great Britain; World War--(1914-1918); 1914-1918; Fiction; World War, 1914-1918--Great Britain--Fiction.; Twins--Fiction.; Bookbinding--Fiction.; World War, 1914-1918--Refugees--Belgium--Fiction.; Australian fiction.; Oxford (England)--History--20th century--Fiction."
1858,Code pénal suisse : [du 21 décembre 1937 (état le 1er juillet 2020)] /,,Diffusion OFCL; Chancellerie fédérale,Strafrecht; Strafgesetzbuch; Schweiz; Textreproduktion
1859,Code des obligations : [du 30 mars 1911 (état le 1er janvier 2021)] /,,Diffusion OFCL; Chancellerie fédérale,Obligationenrecht; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion
1860,Code civil suisse : [du 10 décembre 1907 (état le 1er janvier 2021)] /,,Diffusion OFCL; Chancellerie fédérale,Zivilrecht; Zivilgesetzbuch; Schweiz; Textreproduktion
1897,Le portail peint de la cathédrale de Lausanne : chef-d'oeuvre de la sculpture gothique /,,Archives de la Ville de Lausanne,"Polychromie--portail sud--Notre-Dame--Lausanne (Suisse, VD); portail sud--sculpture polychrome suisse--Notre-Dame--Lausanne (Suisse, VD)--gothique (époque)"
1898,Lausanne à travers les âges /,,Libr Rouge,"Lausanne (Suisse, VD)--6e s. / 19e s."
1932,La Suisse verte : les premières années du parti écologiste suisse /,"Rebeaud, Laurent",Impr des remparts; L'Age d'Homme,Les Verts (Suisse)--1983 / 1987; mouvement écologiste--Suisse--1971 / 1987
1942,"Lutry, arts et monuments : du XIe au début du XXe siècle /",,Swissprinters; Commune de Lutry,"monument historique--Lutry (Suisse, VD); urbanisme--Lutry (Suisse, VD)--11e s. / 20e s. (début); Lutry (Suisse, VD)"
1945,"La vie d'une cathédrale : organisation spatiale, sociale et religieuse autour de Notre-Dame de Lausanne (XIIIe-XVIe siècles) /","Berclaz, Kérim",éditeur non identifié,"Vie religieuse et monastique--Lausanne (Suisse, VD)--Histoire; Cathédrales--Conditions sociales--Histoire--Lausanne (Suisse, VD); Paroisse de Notre-Dame (Lausanne)--Histoire; Thèses et écrits académiques"
2047,Harry Dickson /,"Ray, Jean, romancier",Oswald,
2087,"Des albums pour dire, écrire, lire : Activités didactiques",,Conférence intercantonale de l'instruction publique de la Suisse romande et du Tessin,école enfantine--lecture - apprentissage (psychologie); communication orale--école enfantine; activités didactiques--écoute--français (langue)
2385,Kriegstagebuch des Oberkommandos der Wehrmacht : (Wehrmachtführungsstab) : 1940-1945 /,,Bernard und Graefe Verlag für Wehrwesen,guerre mondiale 2--[document]
2386,Geschichte der deutschen Kriegswirtschaft : 1939-1945 /,"Eichholtz, Dietrich",Akademie-Verlag,
2401,"Décrire un impératif ? : description, explication, interprétation en sciences sociales /","Ackermann, Werner",Ecole des hautes études en sciences sociales,
2406,Mélanges d'organologie /,"Felix, Jean-Pierre",J-P Felix,orgue--Belgique--16e s. / 20e s.; facture instrumentale--orgue--Belgique--16e s. / 20e s.
2426,Jacqueline Veuve 25 ans de cinéma /,"Galland, Bertil, 1931-",Cinémathèque suisse,"Veuve, Jacqueline; Veuve, Jacqueline--[filmographie]; Veuve Jacqueline"
2427,Une femme de cinéma : Jacqueline Veuve et le nouvel envol du film documentaire /,"Galland, Bertil, 1931-",Cinémathèque suisse,"Veuve, Jacqueline; Veuve Jacqueline; cinéma documentaire suisse; DOCUMENTAIRE; SUISSE ROMANDE"
2604,"Poésies (1869-1871), Arthur Rimbaud /","Olivier, Patrick",Hatier,"Rimbaud, Arthur - poésie--[manuel]"
2623,Droit d'asile et des réfugiés : de la protection aux droits /,"Carlier, Jean-Yves, 1958-",M Nijhoff Publ,droit d'asile--[cours]; réfugié--* droit--[cours]
2647,"Lumière sur l'échafaud : lettres de prison de Jacques Fesch, guillotiné le 1er octobre 1957 à 27 ans /","Fesch, Jacques",Les Ed ouvrières,
2673,"La comédie humaine / scènes de la vie parisienne ; / avec, pour ce vol., la collab. de Pierre Citron, René Guise...[et al.]","Balzac, Honoré de",Gallimard,
2723,Nationalisme et internationalisme dans l'architecture moderne de la Suisse /,"Gubler, Jacques",L'Age d'Homme,architecture suisse--internationalisme--nationalisme--20e s.
2730,Ouvrons les yeux ! : voyage esthétique à travers la Suisse /,"Fatio, Guillaume",Atar,architecture suisse--11e s. / 19e s.; architecture rurale suisse
2731,Deux siècles et demi de franc-maçonnerie en Suisse et dans le Pays de Neuchâtel /,"Cugnet, Michel",Typoffset Dynamic; Ed du Chevron,"Franc-maçonnerie--Suisse--1736 / 1990; Franc-maçonnerie--Neuchâtel (Suisse, canton)--1743 / 1990"
2732,La belle époque de l'architecture,,CL Presses centrales; Association Edimento - pour le patrimoine,Architecture--Vaud (Suisse)--Histoire
2796,"Conjudingo CE2 : 3 jeux de conjugaison : bataille, mistigri, rami /","Lagoda Patingre, Claire",Cocktail games,Conjugaison--Jeux éducatifs; Français (langue)--Jeux éducatifs
2797,"Conjudingo CM1-CM2 : 3 jeux de conjugaison : bataille, mistigri, rami /","Lagoda Patingre, Claire",Aritma; Cocktail Games,Français (langue)--Conjugaison; Jeux éducatifs
2845,Economie et refuge à Genève au siècle de la Réforme : la draperie et la soierie (1540-1630) /,"Mottu-Weber, Liliane",Champion; Droz,"draperie--Genève (Suisse, ville)--1540 / 1630; industrie--soie--Genève (Suisse, ville)--1540 / 1630; économie--Genève (Suisse, canton)--1540 / 1630; économie--Eglise du refuge--protestant français--Genève (Suisse, canton)--1540 / 1630"
2846,La visite des églises du diocèse de Lausanne en 1453 /,,Société d'histoire de la Suisse romande,"Geschichte; Schweizergeschichte; Kirchengeschichte; Bistum; 15. Jahrhundert; Lausanne (Suisse, diocèse, VD)--1453; Schweiz; Waadt; Lausanne"
2848,La conquête du Pays de Vaud par les Bernois /,"Gilliard, Charles, 1879-1944",Ed La Concorde,"Geschichte; Schweizergeschichte; kantonales Recht; Berne (Suisse, canton)--Vaud (Suisse)--1536; Schweiz; Waadt"
2850,Faire de l'histoire /,,Gallimard,connaissance--histoire (discipline)--[études diverses]; histoire (discipline)--* méthodologie--[études diverses]
2853,Grammaire syriaque /,"Costaz, Louis",Impr catholique,grammaire--syriaque (langue)--[manuel]
2862,"Les trophées sacrés, ou, Missions des capucins en Savoie, dans l'Ain, la Suisse romande et la vallée d'Aoste, à la fin du XVIe et au XVIIe siècle /","Charles, de Genève",Impr réunies; éditeur non identifié,Capucins--16e s. / 17e s.--[document]; Geschichte; Kirchengeschichte; Kapuziner; 16. Jahrhundert; 17. Jahrhundert; Schweiz
2863,L'église et l'imprimerie dans les anciens diocèses de Lausanne et de Genève jusqu'en 1525 /,"Besson, Marius, 1876-1945",Jacquemoud,"imprimerie--Lausanne (Suisse, VD)--15e s. (fin) / 1525; livre--Genève (Suisse, ville)--15e s. (fin) / 1525; livre--Fribourg (Suisse, canton)--15e s. (fin) / 1525"
2864,Le Pays de Vaud : des origines à la conquête bernoise /,"Paquier, Richard",Ed de l'Aire,Vaud (Suisse)--origines / 1536
2865,Les temples vaudois : l'architecture réformée dans le Pays de Vaud : (1536-1798) /,"Grandjean, Marcel, 1930-",Bibliothèque historique vaudoise,église protestante (bâtiment)--Vaud (Suisse)--1536 / 1798
2898,Société coopérative d'habitation Lausanne 1920-1995 : 75 ans d'élan constructeur au service de la qualité de la vie /,"Neuenschwander Feihl, Joëlle, 1958-",Impr Réunies; Société coopérative d'habitation,"Société coopérative d'habitation Lausanne--1920 / 1995; logement social--Lausanne (Suisse, VD)--1920 / 1995"
2902,François Diday : 1802-1877 : fondateur de l'école suisse de paysage : contribution à l'histoire de l'art du XIXme siècle /,"Schreiber-Favre, Alfred",A Jullien,"Diday, François"
2943,Mon expérience de l'amitié avec Nietzsche et Rée /,"Andreas-Salomé, Lou",Soc française d'études nietzschéennes,
2966,La pensée politique de Calvin /,"Chenevière, Marc-Edouard","Ed ""Je sers""; Labor","Calvin, Jean,--1509-1564; politique--Calvin, Jean; Staatswissenschaft; Politik"
2970,Alliances confédérales : 1291-1815 /,"Lasserre, David",E Rentsch,"alliance--canton--Suisse--1291 / 1815--[document]; alliance--Suisse. ""Pacte fédéral de 1291""; alliance--Suisse. ""Pacte fédéral de 1815"""
2972,Etapes du fédéralisme : l'expérience suisse /,"Lasserre, David",Rencontre,fédéralisme--Suisse
2973,The foundations of modern political thought /,"Skinner, Quentin",Cambridge Univ Press,philosophie politique--Europe occidentale--13e s. / 16e s.
2983,Le corporatisme et la droite en Suisse romande /,"Maspoli, Philippe",Université de Lausanne Faculté des lettres Section d'histoire,corporatisme--droite (politique)--Suisse romande--1920 / 1940; corporatisme - influence exercée--idéologie--Suisse romande
3003,Traité de droit administratif /,"Grisel, André",Paul Attinger SA; Ed Ides et Calendes,
3005,"Grammaire 4e, 3e /",,Belin,
3080,La responsabilité civile et pénale des organes dirigeants de sociétés anonymes /,"Garbarski, Andrew M.",Schulthess,conseil d'administration--responsabilité (droit)--société anonyme--Suisse; conseil d'administration--responsabilité pénale--société anonyme--Suisse; Aktiengesellschaft; Organ(juristische Person); Strafbarkeit; Unternehmung; Verantwortlichkeit der Organperson; Verantwortlichkeitsklage; Prozessführungsbefugnis; örtliche Zuständigkeit; Verantwortlichkeit des Unternehmens; Schweiz
3091,"Le Heimatschutz, une ligue pour la beauté : esthétique et conscience culturelle au début du siècle en Suisse /","Le Dinh, Diana",Section d'histoire Université de Lausanne,Ligue suisse du patrimoine national (Suisse)--20e s. (début); patrimoine - conservation--Suisse--20e s. (début)
3106,Essai philosophique sur la qualification juridique : de la subsomption à l'abduction : l'exemple du droit international privé /,"Papaux, Alain, 1965-",Impr Chabloz; Schulthess et autres,droit international privé--* philosophie du droit; abduction (logique)--droit international privé--* philosophie du droit; Rechtsnatur; Rechtsphilosophie; allgemeine Rechtslehre; Wille; Gesetzmässigkeit; Analogie; internationales Privatrecht
3114,Anna Karénine /,"Tolstoĭ, Lev Nikolaevich",P-V Stock,
3118,La vie de société dans le Pays de Vaud à la fin du XVIIIe siècle : Salomon et Catherine de Charrière de Sévery et leurs amis /,"Charrière de Sévery, William de",Ed Slatkine,"Charrière de Sévery, Salomon; Charrière de Sévery, Catherine; vie mondaine--Vaud (Suisse)--18e s. (fin); vie culturelle--Vaud (Suisse)--18e s. (fin); Vaud (Suisse)--18e s. (fin)"
3137,"Oeuvres romanesques complètes / Notices, appendices, notes variantes","Giono, Jean",Gallimard,
3201,Un détail mineur . roman /,"Shibli, Adania",Sindbad,
3245,Qu'est-ce que l'hypnose ? /,"Roustang, François",Ed de Minuit,hypnose
3257,Mars [...] /,"Zorn, Fritz",Gallimard,Cancer; Maladies psychosomatiques; [Récits personnels]
3265,L'empire carolingien /,"Hubert, Jean, 1902-1994",Gallimard,art carolingien
3423,L'empire occulte : les secrets de la puissance helvétique /,"Stucki, Lorenz",R Laffont,économie--Suisse
3427,"Le ""Formicarius"" de Jean Nider O.P. († 1438) : la société chrétienne au miroir de l'observance /","Chêne, Catherine",éditeur non identifié,"Nider, Johannes.--""Formicarius""; Thèses et écrits académiques; Démonologie--Europe--15e siècle; Sorcellerie--Europe--15e siècle"
3434,The art of appreciation.,"Osborne, Harold",Oxford Univ Press,art--* esthétique
3452,[Ménées] /,,Diaconie Apostolique,année liturgique--fête religieuse--liturgie byzantine--[document]; année liturgique--liturgie byzantine--liturgie des heures--[document]
3491,Die Latènegräber der Nordalpinen Schweiz /,"Tanner, Alexander",Seminar für Urgeschichte,La Tène (culture)--tombeau--Suisse
3564,"Au cinéma : lecture, logique, inférence /","Gagné, Nancy",Les Éditions Passe-Temps,Jeux éducatifs; Lecture--Étude et enseignement--Problèmes et exercices; Jeux mathématiques
3592,Les carnets /,"David d'Angers, Pierre-Jean, 1788-1856",Plon,
3747,La conquête du Pays de Vaud par les Bernois /,"Gilliard, Charles, 1879-1944",Ed de l'Aire,"Vaud (Suisse)--1536; Berne (Suisse, canton)--Vaud (Suisse)--1536"
3848,"La comédie humaine / scènes de la vie privée / avec, pour ce vol., la collab. de Pierre Barbéris, Madeleine Fargeaud...[et al.]","Balzac, Honoré de",Gallimard,
3853,Utopiques : jeux d'espaces,"Marin, Louis, 1931-1992",Les Editions de Minuit,"More, Thomas.--""Utopia""; utopie"
3889,Le bonheur suisse /,"Boltanski, Luc",Les Editions de Minuit,bonheur--société (milieu humain)--Suisse
3996,Lausanne et ses campagnes au 17e siècle /,"Radeff, Anne",Presses Centrales; Bibliothèque historique vaudoise,"Lausanne (Suisse, VD)--17e s."
3998,Le refuge protestant dans le Pays de Vaud : (fin XVIIe - début XVIIIe s.) : aspects d'une migration /,"Ducommun, Marie-Jeanne",Droz,protestant français--refuge huguenot--Vaud (Suisse)--17e s. (fin) / 18e s. (début); refuge huguenot--Vaud (Suisse)
4009,Les fondements de la basse continue au XVIIIe siècle : une méthode basée sur les sources d'époque /,"Christensen, Jesper Bøje",Bärenreiter,basse continue--1690 / 1735--[méthode]
4061,Code civil suisse /,,Diffusion OFCL; Chancellerie fédérale,Zivilrecht; Zivilgesetzbuch; Schweiz; Textreproduktion
4062,Constitution fédérale de la Confédération suisse : du 18 avril 1999 (état le 1er janvier 2024) /,,Diffusion OFCL; Chancellerie fédérale,Verfassungsrecht; Bundesrecht; Bundesverfassung; Schweiz; Textreproduktion
4063,Code des obligations /,,Diffusion OFCL; Chancellerie fédérale,Obligationenrecht; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion
4105,Le diable amoureux /,"Cazotte, Jacques, 1719-1792",,
4106,Oeuvres romanesques /,"Faulkner, William",Gallimard,
4107,Les cahiers de Malte Laurids Brigge /,"Rilke, Rainer Maria",La Guilde du livre,
4114,Les mondes d'Andrei Tarkovski / Suivi de Andrei Tarkovski et le sacrifice / Freddy Buache,"Kovács, Bálint András",Age d'homme,"Tarkovsky, Andreï; Tarkovsky Andrei / Tarkovskij Andrei / Tarkovsky Andrey"
4123,The Mahayana Mahaparinirvana-Sutra /,,The Karinbunko,
4168,"Benjamin de Chandieu : gentilhomme lausannois, capitaine au service de France sous Louis XV : d'après ses lettres à sa femme et d'autres documents inédits /","Chandieu, Benjamin de",sn,"Chandieu, Benjamin de--[document]"
4169,Histoire du Valais /,,Société d'histoire du Valais romand,Valais (Suisse)--origines / 20e s.
4173,Aspects de l'agriculture vaudoise à la fin de l'Ancien Régime /,"Chevallaz, Georges-André",F Rouge,agriculture--Vaud (Suisse)--16e s. / 18e s.
4371,"Archéologie du Moyen-Age : le canton de Vaud du Ve au XVe siècle : [exposition] Musée cantonal d'archéologie et d'histoire, Lausanne, Palais de Rumine, du 27 novembre 1993 au 18 septembre 1994 /",,Musée cantonal d'archéologie et d'histoire,Vaud (Suisse)--Moyen âge; Sites archéologiques--Vaud (Suisse); Antiquités--Suisse; Catalogues d'exposition; Vaud (Suisse)--* archéologie--5e s. / 1536--[catalogue d'exposition]
4381,Institution oratoire /,"Quintilianus, Marcus Fabius",Les Belles Lettres,
4387,"Le droit à l'image : définition, protection, exploitation : étude de droit privé suisse /","Lévy, Vanessa",Schulthess,droit à l'image--droit de la personnalité--Suisse
4454,Sex and the city 2 /,,Warner Home Video,
4455,Les femmes dans la mémoire de Genève : du XVe au XXe siècle /,,S Hurter,"femme--Genève (Suisse, canton)--15e s. / 20e s.--[biographie]"
4456,L'affaire Davel /,"Mercier-Campiche, Marianne 1912-....",Impr Hermann et Enest Pont; Ed Ovaphil,"Davel, Jean Daniel Abraham; Vaud (Suisse)--1536-1798 (Régime bernois); Davel, Jean Daniel Abraham--Vaud (Suisse)--1723"
4459,Le dialogue des Lumières : cosmopolitisme et débats de réforme dans la Société littéraire de Lausanne (1772-1783) /,"Bardelli, Damiano",éditeur non identifié,"Cosmopolitisme littéraire--Lausanne (Suisse, VD)--18e siècle; Sociétés savantes et instituts--Lausanne (Suisse, VD)--18e siècle; Littérature--Associations--Lausanne (Suisse, VD)--18e siècle; Mouvement des Lumières; Thèses et écrits académiques"
4518,Situations /,"Sartre, Jean-Paul",Gallimard,
4522,Oeuvres complètes /,"Deschamps, Eustache",Johnson Reprint,
4531,La pratique de l'esprit humain : l'institution asilaire et la révolution démocratique /,"Gauchet, Marcel, 1946-",Gallimard,"Esquirol, Jean Etienne Dominique.--""Des passions considérées comme causes, symptômes et des moyens curatifs de l'aliénation mentale""; folie--hôpital psychiatrique--France--19e s. / 20e s."
4668,La télévision scolaire en Suisse : conférences et communications du colloque organisé du 9 au 11 novembre 1967 à Ruschlikon par l'Institut de recherches des communications de masse de l'Université de Lausanne et l'Institut Gottlieb Duttweiler /,,Institut Gottlieb Duttweiler pour l'étude de questions économiques et sociales,école--enseignement télévisé--télévision--Suisse--[congrès]
4676,Die Genossenschaft als Rechtsform für Kartelle /,"Korach, Alexander",Aku-Fotodruck; éditeur non identifié,cartel--coopérative--* droit--Suisse; Genossenschaft; Kartell; unlauterer Wettbewerb; Schweiz
4678,Der Eintritt in die Genossenschaft und die daran geknüpften Rechte und Pflichten /,"Stiehle, Carl-Egon",P Haupt,
4686,Systematischer Teil und Art. 828-838 OR : [Begriff und Errichtung] /,"Forstmoser, Peter 1943-....",Stämpfli,Genossenschaft; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion; Kommentar(Werk)
4690,Etude relative à la loi fédérale sur l'aménagement du territoire /,,Office fédéral de l'aménagement du territoire,"Suisse.--""Loi fédérale sur l'aménagement du territoire""; aménagement du territoire--* droit--Suisse--[anthologie]; aménagement du territoire--* droit--Suisse--[texte législatif]; Raumplanung und öffentliches Baurecht; öffentliches Werk; Wasser; Bundesrecht; Schweiz"
4746,Manuel de police scientifique (technique) : I. vols et homicides /,"Reiss, Rodolphe Archibald",F Alcan; Payot,
4749,La banque protestante en France : de la Révocation de l'Edit de Nantes à la Révolution /,"Lüthy, Herbert",SEVPEN,banque--protestantisme--France--1685 / 1789
4795,Le sacre de l'écrivain : 1750-1830 : essai sur l'avènement d'un pouvoir spirituel laïque dans la France moderne /,"Bénichou, Paul",J Corti,"écrivain--pouvoir spirituel--France--1750 / 1830; idées politiques--Constant de Rebecque, Benjamin; littérature française--pouvoir spirituel--1750 / 1830"
4796,"""L'odorat a ses monstres"" : olfaction et perversion dans l'imaginaire fin-de-siècle (1880-1905) /","Borloz, Sophie-Valentine",éditeur non identifié,Langage et odorat; Perception olfactive; Odorat; Odeurs; Odeurs--Dans la littérature; Littérature française--1870-1914; Littérature et médecine; France--Civilisation--1870-1914
4810,Candide /,Voltaire,World Pub Co,
5150,Oeuvres complètes / (L'oublié) ;,"Kafka, Franz",Gallimard,
5151,Oeuvres complètes /,"Kafka, Franz",Gallimard,
5197,La vie théâtrale et lyrique à Lausanne et dans ses environs dans la seconde moitié du XVIIIe siècle (1757-1798) /,"Lovis, Béatrice",éditeur non identifié,"Théâtre (genre littéraire) suisse--Lausanne (Suisse, région, VD)--18e siècle; Théâtre (genre littéraire)--Histoire et critique--Suisse--Lausanne (Suisse, région, VD)--18e siècle; Spectacles et divertissements--Suisse--Lausanne (Suisse, région, VD)--18e siècle; Thèses et écrits académiques"
5272,Lolita : roman /,"Nabokov, Vladimir",La Guilde du livre,
5280,Autoportrait avec artiste : portrait de Valentin Carron /,"Revaz, Noëlle, 1968-",art&fiction,"Carron, Valentin"
5338,La correspondance des arts : éléments d'esthétique comparée /,"Souriau, Etienne",Flammarion,art--* philosophie; esthétique--* philosophie
5387,"Les intellectuels, le peuple et la révolution : histoire du populisme russe au XIXe siècle /","Venturi, Franco",Gallimard,populisme (politique)--Russie--19e s.
5389,L'homme du ressentiment /,"Scheler, Max",Gallimard,
5391,"Introduction à la lecture de Hegel : leçons sur la ""Phénoménologie de l'esprit"" professées de 1933 à 1939 à l'Ecole des Hautes-Etudes /Alexandre Kojève ; réunies et publiées par Raymond Queneau","Kojève, Alexandre",Gallimard,"Hegel, Georg Wilhelm Friedrich.--""Phänomenologie des Geistes"""
5417,Sans feu ni lieu : [policier] /,"Vargas, Fred, 1957-",V Hamy,
5470,"Les parents pauvres d'Honoré de Balzac : ""La cousine Bette"", ""Le cousin Pons"" : étude historique et critique /","Lorant, André",Libr Droz,"Balzac, Honoré de.--""La cousine Bette""; Balzac, Honoré de.--""Le cousin Pons"""
