i,Title,Author,Publisher,Subjects,found_isbn,source
1464,Journal /,"Maine De Biran, Marie-François-Pierre",La Baconnière,,,None
1465,Journal /,"Maine De Biran, Marie-François-Pierre",La Baconnière,,9780486206783,OpenLibrary
1466,Journal /,"Maine De Biran, Marie-François-Pierre",La Baconnière,,,None
1468,"Cinq cahiers écrits par une petite fille entre sept ans et demi et dix ans, et leurs commentaires /","Bonaparte, Marie",Imago; L'auteur,,,None
1469,A la mémoire des disparus /,"Bonaparte, Marie",Presses univ de France; Imago Publ Co,,,None
1555,Histoire naturelle /,"Plinius Secundus, Caius",Les Belles Lettres,,9782070389216,OpenLibrary
1562,Travaux sur les systèmes de signes : Ecole de Tartu /,nan,Ed Complexe,sémiologie--[études diverses],,None
1581,Le tour d'écrou /,"James, Henry, 1843-1916",La Guilde du livre,,9782290334836,OpenLibrary
1675,Oeuvres autobiographiques /,"Sand, George",Gallimard,"Sand, George--[biographie]",9782070105137,OpenLibrary
1694,Maus : un survivant raconte /,"Spiegelman, Art",Flammarion,[Bandes dessinées],,None
1695,Maus : un survivant raconte /,"Spiegelman, Art",Flammarion,Bandes dessinées,,None
1718,Théorie pure du droit : introduction à la science du droit /,"Kelsen, Hans, 1881-1973",P Attinger; La Baconnière,philosophie du droit--[manuel],,None
1789,"Amedeo VIII, 1383-1451 /","Cognasso, Francesco",GB Paravia,Amédée--(duc de Savoie ;--8),,None
1791,Storia di Milano /,nan,Fondazione Treccani Degli Alfieri per la storia di Milano,Milan (Italie)--2e millénaire av. J.-C. / 1915,,None
1792,Dictionnaire biographique des médecins en France au Moyen-Age /,"Wickersheimer, Ernest",Droz,médecin--France--Moyen-Âge--[dictionnaire],9782600033848,Google
1793,La société de cour /,"Elias, Norbert",Calmann-Lévy,cour (monarchie)--société (milieu humain)--France--17e s. / 18e s.; aristocratie--comportement social--France--17e s. / 18e s.,,None
1795,La finanza sabauda nel sec. XIII /,nan,M Gabetta-Voghera,,,None
1830,Mad honey /,"Picoult, Jodi, 1966-",Hodder & Stoughton,,9781473692497,Google
1834,The bookbinder of Jericho /,"Williams, Pip",Chatto & Windus,"Great Britain; World War--(1914-1918); 1914-1918; Fiction; World War, 1914-1918--Great Britain--Fiction.; Twins--Fiction.; Bookbinding--Fiction.; World War, 1914-1918--Refugees--Belgium--Fiction.; Australian fiction.; Oxford (England)--History--20th century--Fiction.",9781529907674,Google
1858,Code pénal suisse : [du 21 décembre 1937 (état le 1er juillet 2020)] /,nan,Diffusion OFCL; Chancellerie fédérale,Strafrecht; Strafgesetzbuch; Schweiz; Textreproduktion,,None
1859,Code des obligations : [du 30 mars 1911 (état le 1er janvier 2021)] /,nan,Diffusion OFCL; Chancellerie fédérale,Obligationenrecht; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion,,None
1860,Code civil suisse : [du 10 décembre 1907 (état le 1er janvier 2021)] /,nan,Diffusion OFCL; Chancellerie fédérale,Zivilrecht; Zivilgesetzbuch; Schweiz; Textreproduktion,,None
1897,Le portail peint de la cathédrale de Lausanne : chef-d'oeuvre de la sculpture gothique /,nan,Archives de la Ville de Lausanne,"Polychromie--portail sud--Notre-Dame--Lausanne (Suisse, VD); portail sud--sculpture polychrome suisse--Notre-Dame--Lausanne (Suisse, VD)--gothique (époque)",,None
1898,Lausanne à travers les âges /,nan,Libr Rouge,"Lausanne (Suisse, VD)--6e s. / 19e s.",,None
1932,La Suisse verte : les premières années du parti écologiste suisse /,"Rebeaud, Laurent",Impr des remparts; L'Age d'Homme,Les Verts (Suisse)--1983 / 1987; mouvement écologiste--Suisse--1971 / 1987,9782825130216,Google
1942,"Lutry, arts et monuments : du XIe au début du XXe siècle /",nan,Swissprinters; Commune de Lutry,"monument historique--Lutry (Suisse, VD); urbanisme--Lutry (Suisse, VD)--11e s. / 20e s. (début); Lutry (Suisse, VD)",,None
1945,"La vie d'une cathédrale : organisation spatiale, sociale et religieuse autour de Notre-Dame de Lausanne (XIIIe-XVIe siècles) /","Berclaz, Kérim",éditeur non identifié,"Vie religieuse et monastique--Lausanne (Suisse, VD)--Histoire; Cathédrales--Conditions sociales--Histoire--Lausanne (Suisse, VD); Paroisse de Notre-Dame (Lausanne)--Histoire; Thèses et écrits académiques",,None
2047,Harry Dickson /,"Ray, Jean, romancier",Oswald,,9782871531845,OpenLibrary
2087,"Des albums pour dire, écrire, lire : Activités didactiques",nan,Conférence intercantonale de l'instruction publique de la Suisse romande et du Tessin,école enfantine--lecture - apprentissage (psychologie); communication orale--école enfantine; activités didactiques--écoute--français (langue),,None
2385,Kriegstagebuch des Oberkommandos der Wehrmacht : (Wehrmachtführungsstab) : 1940-1945 /,nan,Bernard und Graefe Verlag für Wehrwesen,guerre mondiale 2--[document],,None
2386,Geschichte der deutschen Kriegswirtschaft : 1939-1945 /,"Eichholtz, Dietrich",Akademie-Verlag,,9783110964899,Google
2401,"Décrire un impératif ? : description, explication, interprétation en sciences sociales /","Ackermann, Werner",Ecole des hautes études en sciences sociales,,,None
2406,Mélanges d'organologie /,"Felix, Jean-Pierre",J-P Felix,orgue--Belgique--16e s. / 20e s.; facture instrumentale--orgue--Belgique--16e s. / 20e s.,,None
2426,Jacqueline Veuve 25 ans de cinéma /,"Galland, Bertil, 1931-",Cinémathèque suisse,"Veuve, Jacqueline; Veuve, Jacqueline--[filmographie]; Veuve Jacqueline",,None
2427,Une femme de cinéma : Jacqueline Veuve et le nouvel envol du film documentaire /,"Galland, Bertil, 1931-",Cinémathèque suisse,"Veuve, Jacqueline; Veuve Jacqueline; cinéma documentaire suisse; DOCUMENTAIRE; SUISSE ROMANDE",,None
2604,"Poésies (1869-1871), Arthur Rimbaud /","Olivier, Patrick",Hatier,"Rimbaud, Arthur - poésie--[manuel]",9782218731402,Google
2623,Droit d'asile et des réfugiés : de la protection aux droits /,"Carlier, Jean-Yves, 1958-",M Nijhoff Publ,droit d'asile--[cours]; réfugié--* droit--[cours],,None
2647,"Lumière sur l'échafaud : lettres de prison de Jacques Fesch, guillotiné le 1er octobre 1957 à 27 ans /","Fesch, Jacques",Les Ed ouvrières,,,None
2673,"La comédie humaine / scènes de la vie parisienne ; / avec, pour ce vol., la collab. de Pierre Citron, René Guise...[et al.]","Balzac, Honoré de",Gallimard,,9782258051140,OpenLibrary
2723,Nationalisme et internationalisme dans l'architecture moderne de la Suisse /,"Gubler, Jacques",L'Age d'Homme,architecture suisse--internationalisme--nationalisme--20e s.,,None
2730,Ouvrons les yeux ! : voyage esthétique à travers la Suisse /,"Fatio, Guillaume",Atar,architecture suisse--11e s. / 19e s.; architecture rurale suisse,,None
2731,Deux siècles et demi de franc-maçonnerie en Suisse et dans le Pays de Neuchâtel /,"Cugnet, Michel",Typoffset Dynamic; Ed du Chevron,"Franc-maçonnerie--Suisse--1736 / 1990; Franc-maçonnerie--Neuchâtel (Suisse, canton)--1743 / 1990",28825101710,OpenLibrary
2732,La belle époque de l'architecture,nan,CL Presses centrales; Association Edimento - pour le patrimoine,Architecture--Vaud (Suisse)--Histoire,,None
2796,"Conjudingo CE2 : 3 jeux de conjugaison : bataille, mistigri, rami /","Lagoda Patingre, Claire",Cocktail games,Conjugaison--Jeux éducatifs; Français (langue)--Jeux éducatifs,,None
2797,"Conjudingo CM1-CM2 : 3 jeux de conjugaison : bataille, mistigri, rami /","Lagoda Patingre, Claire",Aritma; Cocktail Games,Français (langue)--Conjugaison; Jeux éducatifs,,None
2845,Economie et refuge à Genève au siècle de la Réforme : la draperie et la soierie (1540-1630) /,"Mottu-Weber, Liliane",Champion; Droz,"draperie--Genève (Suisse, ville)--1540 / 1630; industrie--soie--Genève (Suisse, ville)--1540 / 1630; économie--Genève (Suisse, canton)--1540 / 1630; économie--Eglise du refuge--protestant français--Genève (Suisse, canton)--1540 / 1630",,None
2846,La visite des églises du diocèse de Lausanne en 1453 /,nan,Société d'histoire de la Suisse romande,"Geschichte; Schweizergeschichte; Kirchengeschichte; Bistum; 15. Jahrhundert; Lausanne (Suisse, diocèse, VD)--1453; Schweiz; Waadt; Lausanne",,None
2848,La conquête du Pays de Vaud par les Bernois /,"Gilliard, Charles, 1879-1944",Ed La Concorde,"Geschichte; Schweizergeschichte; kantonales Recht; Berne (Suisse, canton)--Vaud (Suisse)--1536; Schweiz; Waadt",,None
2850,Faire de l'histoire /,nan,Gallimard,connaissance--histoire (discipline)--[études diverses]; histoire (discipline)--* méthodologie--[études diverses],,None
2853,Grammaire syriaque /,"Costaz, Louis",Impr catholique,grammaire--syriaque (langue)--[manuel],,None
2862,"Les trophées sacrés, ou, Missions des capucins en Savoie, dans l'Ain, la Suisse romande et la vallée d'Aoste, à la fin du XVIe et au XVIIe siècle /","Charles, de Genève",Impr réunies; éditeur non identifié,Capucins--16e s. / 17e s.--[document]; Geschichte; Kirchengeschichte; Kapuziner; 16. Jahrhundert; 17. Jahrhundert; Schweiz,,None
2863,L'église et l'imprimerie dans les anciens diocèses de Lausanne et de Genève jusqu'en 1525 /,"Besson, Marius, 1876-1945",Jacquemoud,"imprimerie--Lausanne (Suisse, VD)--15e s. (fin) / 1525; livre--Genève (Suisse, ville)--15e s. (fin) / 1525; livre--Fribourg (Suisse, canton)--15e s. (fin) / 1525",,None
2864,Le Pays de Vaud : des origines à la conquête bernoise /,"Paquier, Richard",Ed de l'Aire,Vaud (Suisse)--origines / 1536,,None
2865,Les temples vaudois : l'architecture réformée dans le Pays de Vaud : (1536-1798) /,"Grandjean, Marcel, 1930-",Bibliothèque historique vaudoise,église protestante (bâtiment)--Vaud (Suisse)--1536 / 1798,,None
2898,Société coopérative d'habitation Lausanne 1920-1995 : 75 ans d'élan constructeur au service de la qualité de la vie /,"Neuenschwander Feihl, Joëlle, 1958-",Impr Réunies; Société coopérative d'habitation,"Société coopérative d'habitation Lausanne--1920 / 1995; logement social--Lausanne (Suisse, VD)--1920 / 1995",,None
2902,François Diday : 1802-1877 : fondateur de l'école suisse de paysage : contribution à l'histoire de l'art du XIXme siècle /,"Schreiber-Favre, Alfred",A Jullien,"Diday, François",,None
2943,Mon expérience de l'amitié avec Nietzsche et Rée /,"Andreas-Salomé, Lou",Soc française d'études nietzschéennes,,,None
2966,La pensée politique de Calvin /,"Chenevière, Marc-Edouard","Ed ""Je sers""; Labor","Calvin, Jean,--1509-1564; politique--Calvin, Jean; Staatswissenschaft; Politik",9782051024228,Google
2970,Alliances confédérales : 1291-1815 /,"Lasserre, David",E Rentsch,"alliance--canton--Suisse--1291 / 1815--[document]; alliance--Suisse. ""Pacte fédéral de 1291""; alliance--Suisse. ""Pacte fédéral de 1815""",,None
2972,Etapes du fédéralisme : l'expérience suisse /,"Lasserre, David",Rencontre,fédéralisme--Suisse,,None
2973,The foundations of modern political thought /,"Skinner, Quentin",Cambridge Univ Press,philosophie politique--Europe occidentale--13e s. / 16e s.,9780521293372,Google
2983,Le corporatisme et la droite en Suisse romande /,"Maspoli, Philippe",Université de Lausanne Faculté des lettres Section d'histoire,corporatisme--droite (politique)--Suisse romande--1920 / 1940; corporatisme - influence exercée--idéologie--Suisse romande,,None
3003,Traité de droit administratif /,"Grisel, André",Paul Attinger SA; Ed Ides et Calendes,,9782825800133,OpenLibrary
3005,"Grammaire 4e, 3e /",nan,Belin,,,None
3080,La responsabilité civile et pénale des organes dirigeants de sociétés anonymes /,"Garbarski, Andrew M.",Schulthess,conseil d'administration--responsabilité (droit)--société anonyme--Suisse; conseil d'administration--responsabilité pénale--société anonyme--Suisse; Aktiengesellschaft; Organ(juristische Person); Strafbarkeit; Unternehmung; Verantwortlichkeit der Organperson; Verantwortlichkeitsklage; Prozessführungsbefugnis; örtliche Zuständigkeit; Verantwortlichkeit des Unternehmens; Schweiz,9783725551668,Google
3091,"Le Heimatschutz, une ligue pour la beauté : esthétique et conscience culturelle au début du siècle en Suisse /","Le Dinh, Diana",Section d'histoire Université de Lausanne,Ligue suisse du patrimoine national (Suisse)--20e s. (début); patrimoine - conservation--Suisse--20e s. (début),,None
3106,Essai philosophique sur la qualification juridique : de la subsomption à l'abduction : l'exemple du droit international privé /,"Papaux, Alain, 1965-",Impr Chabloz; Schulthess et autres,droit international privé--* philosophie du droit; abduction (logique)--droit international privé--* philosophie du droit; Rechtsnatur; Rechtsphilosophie; allgemeine Rechtslehre; Wille; Gesetzmässigkeit; Analogie; internationales Privatrecht,9782802716938,Google
3114,Anna Karénine /,"Tolstoĭ, Lev Nikolaevich",P-V Stock,,9781490349671,OpenLibrary
3118,La vie de société dans le Pays de Vaud à la fin du XVIIIe siècle : Salomon et Catherine de Charrière de Sévery et leurs amis /,"Charrière de Sévery, William de",Ed Slatkine,"Charrière de Sévery, Salomon; Charrière de Sévery, Catherine; vie mondaine--Vaud (Suisse)--18e s. (fin); vie culturelle--Vaud (Suisse)--18e s. (fin); Vaud (Suisse)--18e s. (fin)",,None
3137,"Oeuvres romanesques complètes / Notices, appendices, notes variantes","Giono, Jean",Gallimard,,,None
3201,Un détail mineur . roman /,"Shibli, Adania",Sindbad,,9782330142100,Google
3245,Qu'est-ce que l'hypnose ? /,"Roustang, François",Ed de Minuit,hypnose,9782707331687,Google
3257,Mars [...] /,"Zorn, Fritz",Gallimard,Cancer; Maladies psychosomatiques; [Récits personnels],9783763230839,Google
3265,L'empire carolingien /,"Hubert, Jean, 1902-1994",Gallimard,art carolingien,9780812210965,OpenLibrary
3423,L'empire occulte : les secrets de la puissance helvétique /,"Stucki, Lorenz",R Laffont,économie--Suisse,,None
3427,"Le ""Formicarius"" de Jean Nider O.P. († 1438) : la société chrétienne au miroir de l'observance /","Chêne, Catherine",éditeur non identifié,"Nider, Johannes.--""Formicarius""; Thèses et écrits académiques; Démonologie--Europe--15e siècle; Sorcellerie--Europe--15e siècle",,None
3434,The art of appreciation.,"Osborne, Harold",Oxford Univ Press,art--* esthétique,,None
3452,[Ménées] /,nan,Diaconie Apostolique,année liturgique--fête religieuse--liturgie byzantine--[document]; année liturgique--liturgie byzantine--liturgie des heures--[document],,None
3491,Die Latènegräber der Nordalpinen Schweiz /,"Tanner, Alexander",Seminar für Urgeschichte,La Tène (culture)--tombeau--Suisse,,None
3564,"Au cinéma : lecture, logique, inférence /","Gagné, Nancy",Les Éditions Passe-Temps,Jeux éducatifs; Lecture--Étude et enseignement--Problèmes et exercices; Jeux mathématiques,,None
3592,Les carnets /,"David d'Angers, Pierre-Jean, 1788-1856",Plon,,,None
3747,La conquête du Pays de Vaud par les Bernois /,"Gilliard, Charles, 1879-1944",Ed de l'Aire,"Vaud (Suisse)--1536; Berne (Suisse, canton)--Vaud (Suisse)--1536",,None
3848,"La comédie humaine / scènes de la vie privée / avec, pour ce vol., la collab. de Pierre Barbéris, Madeleine Fargeaud...[et al.]","Balzac, Honoré de",Gallimard,,9782258051140,OpenLibrary
3853,Utopiques : jeux d'espaces,"Marin, Louis, 1931-1992",Les Editions de Minuit,"More, Thomas.--""Utopia""; utopie",9782707339782,Google
3889,Le bonheur suisse /,"Boltanski, Luc",Les Editions de Minuit,bonheur--société (milieu humain)--Suisse,,None
3996,Lausanne et ses campagnes au 17e siècle /,"Radeff, Anne",Presses Centrales; Bibliothèque historique vaudoise,"Lausanne (Suisse, VD)--17e s.",,None
3998,Le refuge protestant dans le Pays de Vaud : (fin XVIIe - début XVIIIe s.) : aspects d'une migration /,"Ducommun, Marie-Jeanne",Droz,protestant français--refuge huguenot--Vaud (Suisse)--17e s. (fin) / 18e s. (début); refuge huguenot--Vaud (Suisse),9782600042864,Google
4009,Les fondements de la basse continue au XVIIIe siècle : une méthode basée sur les sources d'époque /,"Christensen, Jesper Bøje",Bärenreiter,basse continue--1690 / 1735--[méthode],,None
4061,Code civil suisse /,nan,Diffusion OFCL; Chancellerie fédérale,Zivilrecht; Zivilgesetzbuch; Schweiz; Textreproduktion,9781692268374,OpenLibrary
4062,Constitution fédérale de la Confédération suisse : du 18 avril 1999 (état le 1er janvier 2024) /,nan,Diffusion OFCL; Chancellerie fédérale,Verfassungsrecht; Bundesrecht; Bundesverfassung; Schweiz; Textreproduktion,,None
4063,Code des obligations /,nan,Diffusion OFCL; Chancellerie fédérale,Obligationenrecht; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion,,None
4105,Le diable amoureux /,"Cazotte, Jacques, 1719-1792",,,9782290349205,OpenLibrary
4106,Oeuvres romanesques /,"Faulkner, William",Gallimard,,9782070116577,OpenLibrary
4107,Les cahiers de Malte Laurids Brigge /,"Rilke, Rainer Maria",La Guilde du livre,,9782020289276,OpenLibrary
4114,Les mondes d'Andrei Tarkovski / Suivi de Andrei Tarkovski et le sacrifice / Freddy Buache,"Kovács, Bálint András",Age d'homme,"Tarkovsky, Andreï; Tarkovsky Andrei / Tarkovskij Andrei / Tarkovsky Andrey",,None
4123,The Mahayana Mahaparinirvana-Sutra /,nan,The Karinbunko,,,None
4168,"Benjamin de Chandieu : gentilhomme lausannois, capitaine au service de France sous Louis XV : d'après ses lettres à sa femme et d'autres documents inédits /","Chandieu, Benjamin de",sn,"Chandieu, Benjamin de--[document]",,None
4169,Histoire du Valais /,nan,Société d'histoire du Valais romand,Valais (Suisse)--origines / 20e s.,,None
4173,Aspects de l'agriculture vaudoise à la fin de l'Ancien Régime /,"Chevallaz, Georges-André",F Rouge,agriculture--Vaud (Suisse)--16e s. / 18e s.,,None
4371,"Archéologie du Moyen-Age : le canton de Vaud du Ve au XVe siècle : [exposition] Musée cantonal d'archéologie et d'histoire, Lausanne, Palais de Rumine, du 27 novembre 1993 au 18 septembre 1994 /",nan,Musée cantonal d'archéologie et d'histoire,Vaud (Suisse)--Moyen âge; Sites archéologiques--Vaud (Suisse); Antiquités--Suisse; Catalogues d'exposition; Vaud (Suisse)--* archéologie--5e s. / 1536--[catalogue d'exposition],,None
4381,Institution oratoire /,"Quintilianus, Marcus Fabius",Les Belles Lettres,,,None
4387,"Le droit à l'image : définition, protection, exploitation : étude de droit privé suisse /","Lévy, Vanessa",Schulthess,droit à l'image--droit de la personnalité--Suisse,,None
4454,Sex and the city 2 /,nan,Warner Home Video,,9780415978743,Google
4455,Les femmes dans la mémoire de Genève : du XVe au XXe siècle /,nan,S Hurter,"femme--Genève (Suisse, canton)--15e s. / 20e s.--[biographie]",,None
4456,L'affaire Davel /,"Mercier-Campiche, Marianne 1912-....",Impr Hermann et Enest Pont; Ed Ovaphil,"Davel, Jean Daniel Abraham; Vaud (Suisse)--1536-1798 (Régime bernois); Davel, Jean Daniel Abraham--Vaud (Suisse)--1723",,None
4459,Le dialogue des Lumières : cosmopolitisme et débats de réforme dans la Société littéraire de Lausanne (1772-1783) /,"Bardelli, Damiano",éditeur non identifié,"Cosmopolitisme littéraire--Lausanne (Suisse, VD)--18e siècle; Sociétés savantes et instituts--Lausanne (Suisse, VD)--18e siècle; Littérature--Associations--Lausanne (Suisse, VD)--18e siècle; Mouvement des Lumières; Thèses et écrits académiques",,None
4518,Situations /,"Sartre, Jean-Paul",Gallimard,,9780394734606,Google
4522,Oeuvres complètes /,"Deschamps, Eustache",Johnson Reprint,,,None
4531,La pratique de l'esprit humain : l'institution asilaire et la révolution démocratique /,"Gauchet, Marcel, 1946-",Gallimard,"Esquirol, Jean Etienne Dominique.--""Des passions considérées comme causes, symptômes et des moyens curatifs de l'aliénation mentale""; folie--hôpital psychiatrique--France--19e s. / 20e s.",9782070780952,Google
4668,La télévision scolaire en Suisse : conférences et communications du colloque organisé du 9 au 11 novembre 1967 à Ruschlikon par l'Institut de recherches des communications de masse de l'Université de Lausanne et l'Institut Gottlieb Duttweiler /,nan,Institut Gottlieb Duttweiler pour l'étude de questions économiques et sociales,école--enseignement télévisé--télévision--Suisse--[congrès],,None
4676,Die Genossenschaft als Rechtsform für Kartelle /,"Korach, Alexander",Aku-Fotodruck; éditeur non identifié,cartel--coopérative--* droit--Suisse; Genossenschaft; Kartell; unlauterer Wettbewerb; Schweiz,,None
4678,Der Eintritt in die Genossenschaft und die daran geknüpften Rechte und Pflichten /,"Stiehle, Carl-Egon",P Haupt,,,None
4686,Systematischer Teil und Art. 828-838 OR : [Begriff und Errichtung] /,"Forstmoser, Peter 1943-....",Stämpfli,Genossenschaft; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion; Kommentar(Werk),,None
4690,Etude relative à la loi fédérale sur l'aménagement du territoire /,nan,Office fédéral de l'aménagement du territoire,"Suisse.--""Loi fédérale sur l'aménagement du territoire""; aménagement du territoire--* droit--Suisse--[anthologie]; aménagement du territoire--* droit--Suisse--[texte législatif]; Raumplanung und öffentliches Baurecht; öffentliches Werk; Wasser; Bundesrecht; Schweiz",,None
4746,Manuel de police scientifique (technique) : I. vols et homicides /,"Reiss, Rodolphe Archibald",F Alcan; Payot,,,None
4749,La banque protestante en France : de la Révocation de l'Edit de Nantes à la Révolution /,"Lüthy, Herbert",SEVPEN,banque--protestantisme--France--1685 / 1789,9782307484134,Google
4795,Le sacre de l'écrivain : 1750-1830 : essai sur l'avènement d'un pouvoir spirituel laïque dans la France moderne /,"Bénichou, Paul",J Corti,"écrivain--pouvoir spirituel--France--1750 / 1830; idées politiques--Constant de Rebecque, Benjamin; littérature française--pouvoir spirituel--1750 / 1830",,None
4796,"""L'odorat a ses monstres"" : olfaction et perversion dans l'imaginaire fin-de-siècle (1880-1905) /","Borloz, Sophie-Valentine",éditeur non identifié,Langage et odorat; Perception olfactive; Odorat; Odeurs; Odeurs--Dans la littérature; Littérature française--1870-1914; Littérature et médecine; France--Civilisation--1870-1914,,None
4810,Candide /,Voltaire,World Pub Co,,9781717583895,Google
5150,Oeuvres complètes / (L'oublié) ;,"Kafka, Franz",Gallimard,,,None
5151,Oeuvres complètes /,"Kafka, Franz",Gallimard,,,None
