book_id,users_borrowed,dates_borrowed,total_borrows
10,"479, 563, 1134, 3319, 2838, 1538, 0, 3117, 2864","25-01-2023, 02-03-2023, 03-03-2023, 14-03-2023, 08-06-2023, 11-07-2023, 30-08-2023, 24-10-2023, 11-07-2024",9
11,"2749, 1106, 1106, 0","09-03-2023, 05-09-2023, 05-09-2023, 05-09-2023",4
12,"1011, 2749, 1011, 1106, 0, 5014, 5014, 7289","23-01-2023, 09-03-2023, 01-09-2023, 05-09-2023, 05-09-2023, 05-12-2023, 25-01-2024, 25-03-2024",8
13,"5212, 3040, 2749, 2206, 5215, 916, 4643, 1106, 0, 6360, 5014, 6597, 916, 7289","10-02-2023, 08-03-2023, 09-03-2023, 22-03-2023, 02-05-2023, 15-06-2023, 04-09-2023, 05-09-2023, 05-09-2023, 07-12-2023, 10-01-2024, 29-01-2024, 02-02-2024, 25-03-2024",14
14,"2749, 2749, 1106, 1106, 0","09-03-2023, 09-05-2023, 05-09-2023, 05-09-2023, 05-09-2023",5
15,"2749, 2749, 1106, 0, 6360, 6360","09-03-2023, 09-05-2023, 05-09-2023, 05-09-2023, 07-12-2023, 28-06-2024",6
16,"557, 4167, 557, 3011, 557, 6041, 0, 2481, 1992","03-01-2023, 08-02-2023, 24-03-2023, 26-04-2023, 26-05-2023, 14-09-2023, 10-10-2023, 11-03-2024, 15-04-2024",9
17,"1458, 2978, 0, 1246, 2910","07-03-2023, 12-07-2023, 10-10-2023, 11-12-2023, 09-10-2024",5
18,"0, 2481, 1992","10-10-2023, 11-03-2024, 30-04-2024",3
19,"770, 6075, 0, 1992","08-05-2023, 25-09-2023, 17-10-2023, 22-04-2024",4
20,"1458, 2978, 0","07-03-2023, 12-07-2023, 30-10-2023",3
21,"3189, 3189, 6287, 0","14-02-2023, 05-06-2023, 14-12-2023, 18-03-2024",4
22,"6708, 0, 1106, 6708","23-02-2024, 19-03-2024, 09-04-2024, 30-04-2024",4
23,"6535, 927, 130, 3831, 2421, 5661, 3264, 7477, 7071, 0, 53","16-01-2023, 06-02-2023, 13-03-2023, 24-03-2023, 20-10-2023, 30-01-2024, 09-03-2024, 14-03-2024, 14-03-2024, 20-03-2024, 14-05-2024",11
24,"0, 1031, 1031","16-04-2024, 16-04-2024, 09-07-2024",3
25,"3046, 50, 3046, 2190, 6370","09-02-2023, 19-04-2023, 06-07-2023, 22-08-2023, 27-03-2024",5
26,"6426, 1610, 1998, 466","31-01-2023, 17-03-2023, 16-05-2023, 21-06-2023",4
27,"1215, 5509, 5509, 6008, 6008, 1293, 1293","07-11-2023, 02-05-2024, 02-05-2024, 06-05-2024, 06-05-2024, 24-06-2024, 24-06-2024",7
28,"6135, 7129, 3643, 1879, 1934","16-06-2023, 22-08-2023, 06-01-2024, 04-04-2024, 03-05-2024",5
29,"1, 3126, 3281, 2424","16-02-2023, 09-12-2023, 15-12-2023, 30-01-2024",4
30,"325, 362, 1, 591, 1992, 1293","13-02-2023, 21-02-2023, 03-03-2023, 10-01-2024, 06-03-2024, 12-07-2024",6
31,"229, 1, 591, 1293","02-02-2023, 13-04-2023, 10-01-2024, 12-07-2024",4
32,"3419, 1, 2297, 3483, 4234","16-03-2023, 20-04-2023, 24-05-2023, 09-01-2024, 07-02-2024",5
33,"6099, 1, 806, 3784","09-02-2023, 04-05-2023, 28-05-2024, 04-07-2024",4
34,"3847, 1555, 3656, 1, 988, 3166, 5868, 7413","26-01-2023, 30-03-2023, 05-05-2023, 25-05-2023, 21-06-2023, 17-07-2023, 11-10-2023, 30-10-2023",8
35,"1, 2429, 2429","25-05-2023, 26-05-2023, 26-05-2023",3
36,"1879, 5931, 5766, 1, 1, 1, 7196, 7196, 7196","24-01-2023, 22-02-2023, 28-04-2023, 09-08-2023, 09-08-2023, 09-08-2023, 27-02-2024, 05-03-2024, 05-03-2024",9
37,"2637, 2637, 2637, 1155, 1155, 1155, 1, 1, 1, 1397, 1397, 1397, 475, 475, 475, 778, 778, 778, 2648, 2648, 2648, 41, 41, 41","09-10-2023, 09-10-2023, 09-10-2023, 20-10-2023, 20-10-2023, 20-10-2023, 01-11-2023, 01-11-2023, 01-11-2023, 23-11-2023, 23-11-2023, 23-11-2023, 28-12-2023, 28-12-2023, 28-12-2023, 28-02-2024, 28-02-2024, 28-02-2024, 09-03-2024, 09-03-2024, 09-03-2024, 15-03-2024, 15-03-2024, 15-03-2024",24
38,"1189, 6925, 308, 6527, 2225, 554, 5417, 3226, 554, 1, 1, 3238, 1394, 1397","04-01-2023, 22-02-2023, 06-03-2023, 13-03-2023, 16-03-2023, 12-05-2023, 27-05-2023, 12-07-2023, 30-08-2023, 01-11-2023, 28-11-2023, 05-02-2024, 28-02-2024, 06-03-2024",14
39,"3546, 734, 1653, 703, 5421, 2565, 1397, 1, 1220","20-01-2023, 16-02-2023, 02-03-2023, 25-03-2023, 02-05-2023, 16-05-2023, 29-01-2024, 12-02-2024, 15-04-2024",9
40,"3963, 3032, 3, 6979, 7015, 2083, 3371, 1961, 6099, 3862, 2596, 6588, 3468, 6049, 2558, 2187, 2406, 5883","10-01-2023, 13-01-2023, 27-02-2023, 09-03-2023, 05-04-2023, 14-04-2023, 22-04-2023, 30-06-2023, 12-07-2023, 13-07-2023, 13-07-2023, 14-07-2023, 18-07-2023, 21-08-2023, 17-01-2024, 19-01-2024, 08-02-2024, 16-08-2024",18
41,"1141, 158, 1318, 6135","13-03-2023, 25-04-2023, 15-06-2023, 03-08-2023",4
42,"287, 2867, 1415, 1759, 2648, 664, 2939, 5422, 5422, 2867, 1735, 99, 1761, 3202, 297","01-02-2023, 10-02-2023, 15-03-2023, 04-05-2023, 09-06-2023, 04-08-2023, 06-10-2023, 02-11-2023, 02-11-2023, 10-11-2023, 15-12-2023, 05-01-2024, 08-01-2024, 07-02-2024, 04-03-2024",15
43,"7678, 103","23-05-2024, 18-06-2024",2
44,"2, 2410, 3705, 3705, 7129, 7129, 7129, 7129, 7129, 7129, 7129, 7129, 7129, 63","04-01-2023, 18-01-2023, 26-07-2023, 26-07-2023, 22-08-2023, 22-08-2023, 22-08-2023, 23-08-2023, 23-08-2023, 23-08-2023, 23-08-2023, 23-08-2023, 23-08-2023, 15-11-2023",14
45,"6186, 6186, 6186, 6186, 2, 6186, 6186, 1751, 1751, 1751, 1751, 6186, 6186, 6186, 6186, 6186, 6186, 6186, 7126, 7126, 7126, 7372, 7372, 7372, 7372, 7372, 7372, 7372, 7372, 2521, 1124, 2326, 2326, 1124, 7182, 7742, 7742, 7110, 7110","10-01-2023, 10-01-2023, 10-01-2023, 10-01-2023, 12-01-2023, 02-02-2023, 02-02-2023, 07-02-2023, 07-02-2023, 07-02-2023, 07-02-2023, 14-04-2023, 14-04-2023, 14-04-2023, 14-04-2023, 21-04-2023, 21-04-2023, 21-04-2023, 25-07-2023, 25-07-2023, 25-07-2023, 12-09-2023, 13-09-2023, 13-09-2023, 13-09-2023, 13-09-2023, 13-09-2023, 13-09-2023, 13-09-2023, 26-10-2023, 15-11-2023, 18-12-2023, 18-12-2023, 03-02-2024, 06-05-2024, 12-06-2024, 12-06-2024, 23-08-2024, 23-08-2024",39
46,"391, 2, 441, 2648, 4911, 3668, 4417, 3628, 2153, 1106, 574, 1016, 4424, 6131, 1541, 2789, 2293, 6929, 441, 2542, 1318, 1047, 6014, 2269, 1318, 5962, 7394, 2802, 6875, 7149, 3202, 3310, 1287, 7204, 4992, 714, 571, 880, 308, 458, 7584, 4139, 2222, 1681, 5868, 2453, 1146, 7550, 1268, 1607, 7035, 2659, 440, 5887","11-01-2023, 12-01-2023, 20-01-2023, 30-01-2023, 03-02-2023, 10-02-2023, 13-02-2023, 15-02-2023, 20-02-2023, 22-02-2023, 24-02-2023, 01-03-2023, 02-03-2023, 06-03-2023, 18-03-2023, 04-04-2023, 05-04-2023, 11-04-2023, 12-04-2023, 10-05-2023, 13-05-2023, 15-07-2023, 19-07-2023, 21-08-2023, 30-08-2023, 31-08-2023, 23-09-2023, 26-09-2023, 11-10-2023, 11-10-2023, 30-10-2023, 30-10-2023, 30-10-2023, 03-11-2023, 13-11-2023, 15-11-2023, 28-11-2023, 01-12-2023, 05-12-2023, 15-12-2023, 28-12-2023, 08-01-2024, 10-01-2024, 12-01-2024, 18-01-2024, 10-02-2024, 15-02-2024, 23-02-2024, 26-02-2024, 06-03-2024, 06-03-2024, 30-04-2024, 29-05-2024, 14-10-2024",54
47,"2, 4826, 6019, 3274, 1563","14-01-2023, 02-03-2023, 03-04-2024, 02-05-2024, 14-05-2024",5
48,"2, 2440, 2867, 1678, 4840, 1510, 2570, 2413, 7145","25-01-2023, 02-02-2023, 10-02-2023, 24-03-2023, 05-05-2023, 08-05-2023, 31-05-2023, 25-10-2023, 27-11-2023",9
49,"6009, 2, 6524, 941, 3847, 3569, 5965, 5321, 7040, 545, 1242, 1961, 1242, 2107, 2953, 2493, 3264, 962, 7426","16-01-2023, 25-01-2023, 26-01-2023, 02-02-2023, 25-02-2023, 01-05-2023, 25-05-2023, 13-06-2023, 16-06-2023, 13-07-2023, 18-07-2023, 14-08-2023, 21-09-2023, 02-10-2023, 06-12-2023, 07-03-2024, 25-03-2024, 26-03-2024, 25-09-2024",19
50,"2, 642, 1205","25-01-2023, 16-02-2023, 10-05-2023",3
51,"2118, 2, 266, 2648, 25","10-01-2023, 09-02-2023, 27-02-2023, 04-03-2023, 03-01-2024",5
52,"5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5499, 5436, 2, 5499, 6102, 6102, 6102, 6102, 6102, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 7507, 5436, 5436, 5436, 5436, 5436, 5436, 5436, 5436, 5436, 5436, 5436, 5436","18-01-2023, 18-01-2023, 18-01-2023, 18-01-2023, 18-01-2023, 18-01-2023, 18-01-2023, 27-01-2023, 27-01-2023, 08-02-2023, 20-02-2023, 01-03-2023, 01-11-2023, 01-11-2023, 01-11-2023, 01-11-2023, 01-11-2023, 27-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 09-02-2024, 09-02-2024, 09-02-2024, 09-02-2024, 09-02-2024, 09-02-2024, 09-02-2024, 20-02-2024, 20-02-2024, 20-02-2024, 20-02-2024, 20-02-2024, 28-02-2024, 28-02-2024, 28-02-2024, 28-02-2024, 18-03-2024, 18-03-2024, 18-03-2024",46
53,"5816, 5816, 5816, 4764, 4764, 4764, 5816, 5816, 5816, 5816, 5816, 5816, 5816, 5816, 5816, 5816, 5816, 4764, 4764, 4764, 5816, 5816, 5816, 5816, 4764, 4764, 4764, 4764, 5816, 5816, 5816, 5816, 5816, 2, 2, 2, 6457, 6457, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 6931, 5016, 5016, 5016, 5016, 5016, 5016, 5016, 5016, 5016, 5016, 5016, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5816, 5816, 5816, 7498, 7498, 7498, 7498, 7498, 7498, 7498, 7498, 7498, 7498, 7498, 7462, 7462, 1484, 7462, 7462, 7462, 7462, 7462, 7462, 7462, 7462, 7462, 7462, 7462, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 5885, 6531, 6531, 6531, 6531, 6018, 7819, 7819, 7819, 7819, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823, 7823","11-01-2023, 11-01-2023, 11-01-2023, 12-01-2023, 12-01-2023, 12-01-2023, 13-01-2023, 13-01-2023, 13-01-2023, 13-01-2023, 16-01-2023, 16-01-2023, 16-01-2023, 16-01-2023, 16-01-2023, 16-01-2023, 16-01-2023, 17-01-2023, 17-01-2023, 17-01-2023, 23-01-2023, 23-01-2023, 23-01-2023, 23-01-2023, 26-01-2023, 26-01-2023, 26-01-2023, 26-01-2023, 27-01-2023, 27-01-2023, 27-01-2023, 27-01-2023, 01-02-2023, 20-02-2023, 20-02-2023, 20-02-2023, 21-02-2023, 21-02-2023, 27-02-2023, 27-02-2023, 27-02-2023, 27-02-2023, 27-02-2023, 27-02-2023, 27-02-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 07-03-2023, 17-04-2023, 08-05-2023, 08-05-2023, 08-05-2023, 12-05-2023, 12-05-2023, 12-05-2023, 17-05-2023, 17-05-2023, 17-05-2023, 26-05-2023, 03-08-2023, 03-08-2023, 03-08-2023, 09-09-2023, 09-09-2023, 09-09-2023, 09-09-2023, 16-09-2023, 16-09-2023, 16-09-2023, 20-09-2023, 20-09-2023, 20-09-2023, 10-11-2023, 10-11-2023, 10-11-2023, 22-11-2023, 22-11-2023, 22-11-2023, 22-11-2023, 22-11-2023, 22-11-2023, 22-11-2023, 22-11-2023, 22-11-2023, 27-11-2023, 27-11-2023, 07-12-2023, 07-12-2023, 11-12-2023, 12-12-2023, 12-12-2023, 13-12-2023, 13-12-2023, 15-12-2023, 15-12-2023, 15-12-2023, 18-12-2023, 18-12-2023, 18-12-2023, 18-12-2023, 20-12-2023, 20-12-2023, 20-12-2023, 11-01-2024, 11-01-2024, 11-01-2024, 11-01-2024, 15-01-2024, 15-01-2024, 15-01-2024, 15-01-2024, 15-01-2024, 15-01-2024, 15-01-2024, 15-01-2024, 15-01-2024, 18-01-2024, 18-01-2024, 18-01-2024, 18-01-2024, 18-01-2024, 18-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 14-05-2024, 14-05-2024, 14-05-2024, 17-05-2024, 18-06-2024, 13-09-2024, 13-09-2024, 13-09-2024, 13-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024, 21-09-2024",178
54,"2, 3705, 1318, 4826","09-03-2023, 11-07-2023, 31-07-2023, 04-01-2024",4
55,"703, 2, 2919, 1934, 81, 2462, 2648, 7381","06-03-2023, 30-03-2023, 16-05-2023, 29-06-2023, 21-10-2023, 02-02-2024, 15-03-2024, 25-05-2024",8
56,"5868, 5451, 5326, 6527, 2, 5321, 3473, 3371, 5937, 3546, 988, 2462, 1047, 1423, 4362, 2205, 1291, 2838, 265","26-01-2023, 13-02-2023, 24-02-2023, 13-03-2023, 30-03-2023, 03-04-2023, 05-04-2023, 22-04-2023, 11-05-2023, 17-05-2023, 21-06-2023, 18-07-2023, 30-09-2023, 08-12-2023, 05-02-2024, 18-04-2024, 07-05-2024, 21-06-2024, 03-07-2024",19
57,"79, 277, 2","23-01-2023, 27-01-2023, 12-04-2023",3
58,"6083, 6083, 6083, 6083, 5061, 5061, 5061, 5061, 5061, 232, 1159, 1159, 1159, 1159, 1159, 2, 2, 2, 2, 2, 2, 3133, 2, 1724, 7196, 7196, 7180, 7180, 7180, 7180, 7196, 7196, 7180, 5383, 5383, 7196, 7196, 7196, 5383, 5383, 5629, 5862, 5862, 5862, 6829, 6829, 6829, 6829, 6829, 4732, 4732, 4732, 4732, 4732, 4732, 7164, 7164, 7164, 7164, 7164, 7164, 5772, 5772, 4831, 4831, 4831, 4831, 4831, 4831, 4831, 6789, 6789, 6789, 6789, 6789, 7780, 7780, 7780, 7780, 7780, 7780, 7780, 7156, 7156, 7820, 7782, 7782, 6165","26-01-2023, 26-01-2023, 01-02-2023, 01-02-2023, 09-02-2023, 09-02-2023, 09-02-2023, 09-02-2023, 09-02-2023, 13-02-2023, 01-03-2023, 01-03-2023, 01-03-2023, 01-03-2023, 01-03-2023, 19-04-2023, 19-04-2023, 19-04-2023, 26-04-2023, 26-04-2023, 26-04-2023, 27-04-2023, 27-04-2023, 02-05-2023, 29-08-2023, 29-08-2023, 01-09-2023, 01-09-2023, 01-09-2023, 01-09-2023, 05-09-2023, 05-09-2023, 07-09-2023, 11-09-2023, 11-09-2023, 12-09-2023, 12-09-2023, 12-09-2023, 13-09-2023, 13-09-2023, 15-09-2023, 04-12-2023, 04-12-2023, 04-12-2023, 21-12-2023, 21-12-2023, 21-12-2023, 21-12-2023, 21-12-2023, 22-12-2023, 22-12-2023, 22-12-2023, 22-12-2023, 22-12-2023, 22-12-2023, 23-01-2024, 23-01-2024, 23-01-2024, 23-01-2024, 25-01-2024, 25-01-2024, 21-03-2024, 25-03-2024, 20-04-2024, 20-04-2024, 20-04-2024, 20-04-2024, 20-04-2024, 20-04-2024, 20-04-2024, 30-05-2024, 30-05-2024, 30-05-2024, 30-05-2024, 30-05-2024, 02-09-2024, 02-09-2024, 02-09-2024, 02-09-2024, 03-09-2024, 03-09-2024, 03-09-2024, 05-09-2024, 05-09-2024, 17-09-2024, 02-10-2024, 02-10-2024, 03-10-2024",88
59,"2, 1312, 7163, 1312, 1312, 7547","19-04-2023, 25-04-2023, 07-09-2023, 12-12-2023, 18-01-2024, 04-06-2024",6
60,"236, 2, 1264","06-01-2023, 20-04-2023, 22-08-2023",3
61,"2, 2462, 4678, 7035, 224","02-05-2023, 31-05-2023, 23-06-2023, 18-10-2023, 11-03-2024",5
62,"2552, 2961, 2, 3169, 5929","24-01-2023, 21-03-2023, 03-05-2023, 30-08-2023, 31-05-2024",5
63,"1803, 2, 4227, 1934, 7381, 161, 2919","08-03-2023, 11-05-2023, 03-06-2023, 29-06-2023, 20-10-2023, 24-11-2023, 31-05-2024",7
64,"3310, 3988, 2, 2648, 3473, 913, 1242, 1156, 2268, 2445, 6135, 2558, 7584","10-02-2023, 21-02-2023, 16-05-2023, 07-07-2023, 04-09-2023, 03-10-2023, 18-10-2023, 29-11-2023, 05-12-2023, 23-12-2023, 16-01-2024, 30-01-2024, 25-03-2024",13
65,"4120, 2101, 1294, 988, 2, 172, 172","06-01-2023, 12-01-2023, 04-05-2023, 08-05-2023, 02-06-2023, 09-10-2023, 29-01-2024",7
66,"2, 4845, 2919, 1264, 6135, 3371, 7394, 1475, 3310","06-06-2023, 14-06-2023, 29-08-2023, 23-10-2023, 05-12-2023, 30-12-2023, 27-01-2024, 09-04-2024, 16-05-2024",9
67,"288, 6934, 3739, 3371, 2, 5170, 4734","11-01-2023, 09-02-2023, 28-02-2023, 11-03-2023, 08-06-2023, 29-06-2023, 27-10-2023",7
68,"4845, 2128, 2, 7325, 1242, 5995","14-03-2023, 16-05-2023, 13-06-2023, 12-01-2024, 07-02-2024, 02-05-2024",6
69,"2, 2648, 1318, 1291, 1977, 7394","14-06-2023, 01-07-2023, 31-07-2023, 02-11-2023, 06-12-2023, 27-01-2024",6
70,"1934, 2128, 2, 3371, 7687, 187, 2919","10-03-2023, 03-06-2023, 29-06-2023, 28-10-2023, 03-04-2024, 03-05-2024, 31-05-2024",7
71,"5038, 2674, 1864, 3371, 3975, 2, 996, 7205, 7205, 3051, 2218, 3707","30-01-2023, 06-04-2023, 12-04-2023, 22-04-2023, 09-05-2023, 29-06-2023, 31-07-2023, 31-08-2023, 28-09-2023, 14-12-2023, 08-01-2024, 22-02-2024",12
72,"2, 809, 5910, 7433, 7342","01-07-2023, 05-07-2023, 06-09-2023, 13-10-2023, 26-05-2024",5
73,"4364, 2, 7145, 5910, 4974, 4891, 7673","03-03-2023, 01-07-2023, 29-08-2023, 06-09-2023, 06-10-2023, 20-03-2024, 16-04-2024",7
74,"23, 1014, 2802, 227, 2, 6122, 6122, 2700, 1539, 1014, 7136, 7136","19-01-2023, 26-05-2023, 06-06-2023, 08-06-2023, 03-08-2023, 09-10-2023, 10-10-2023, 10-10-2023, 08-11-2023, 13-06-2024, 19-08-2024, 20-08-2024",12
75,"4095, 4095, 4095, 4095, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 6869, 5850, 5850, 5850, 5850, 5850, 5850, 5850, 2, 7497, 7497, 7497, 6125, 6125, 6125, 6125, 6125, 6125, 6125, 6125, 6125, 6125, 6125, 7681, 7681","27-01-2023, 27-01-2023, 07-02-2023, 07-02-2023, 18-02-2023, 18-02-2023, 18-02-2023, 18-02-2023, 18-02-2023, 18-02-2023, 18-02-2023, 18-02-2023, 18-02-2023, 18-02-2023, 18-02-2023, 02-03-2023, 02-03-2023, 02-03-2023, 02-03-2023, 03-03-2023, 03-03-2023, 03-03-2023, 03-03-2023, 03-03-2023, 03-03-2023, 25-03-2023, 25-03-2023, 03-04-2023, 03-04-2023, 03-04-2023, 03-04-2023, 03-04-2023, 03-08-2023, 21-11-2023, 21-11-2023, 18-12-2023, 03-01-2024, 03-01-2024, 03-01-2024, 03-01-2024, 06-01-2024, 06-01-2024, 06-01-2024, 06-01-2024, 06-01-2024, 06-01-2024, 06-01-2024, 23-03-2024, 23-03-2024",49
76,"5499, 5499, 5499, 5499, 5499, 2, 2, 2","10-02-2023, 10-02-2023, 10-02-2023, 10-02-2023, 10-02-2023, 03-08-2023, 14-10-2023, 14-10-2023",8
77,"1423, 2966, 2","09-01-2023, 12-06-2023, 26-08-2023",3
78,"6611, 4230, 4230, 4230, 4230, 4230, 4230, 4230, 4230, 4734, 6468, 2, 2, 4734, 4734, 7165, 7165, 7165","19-01-2023, 20-02-2023, 20-02-2023, 05-06-2023, 05-06-2023, 29-06-2023, 29-06-2023, 29-06-2023, 29-06-2023, 14-07-2023, 30-08-2023, 05-09-2023, 05-09-2023, 17-01-2024, 12-02-2024, 13-03-2024, 18-03-2024, 18-04-2024",18
79,"7198, 7175, 2, 5907, 2899","29-08-2023, 01-09-2023, 25-10-2023, 19-03-2024, 27-06-2024",5
80,"2, 2","11-11-2023, 11-11-2023",2
81,"158, 158, 1067, 1067, 1067, 1067, 2, 2, 2, 2, 2, 2, 2, 2, 6445","03-04-2023, 03-04-2023, 06-05-2023, 06-05-2023, 06-05-2023, 06-05-2023, 11-11-2023, 11-11-2023, 25-11-2023, 25-11-2023, 25-11-2023, 25-11-2023, 25-11-2023, 25-11-2023, 25-03-2024",15
82,"4227, 6539, 3963, 6527, 3546, 6968, 3558, 2","11-02-2023, 27-02-2023, 02-03-2023, 13-03-2023, 14-04-2023, 25-05-2023, 25-07-2023, 25-11-2023",8
83,"7119, 29, 2, 4900, 1542, 3524, 2337, 3562","08-07-2023, 29-08-2023, 25-11-2023, 29-01-2024, 28-02-2024, 26-03-2024, 24-04-2024, 29-06-2024",8
84,"4845, 6925, 2, 1944, 2513","22-08-2023, 31-10-2023, 25-11-2023, 18-03-2024, 10-07-2024",5
85,"1354, 3009, 2, 3546, 187, 7144","27-07-2023, 01-11-2023, 08-12-2023, 12-01-2024, 29-01-2024, 16-03-2024",6
86,"6925, 1977, 2, 187","11-10-2023, 13-11-2023, 08-12-2023, 17-02-2024",4
87,"3274, 162, 2648, 4968, 1944, 4845, 458, 6979, 1318, 2, 7609, 187","06-04-2023, 13-04-2023, 22-05-2023, 09-06-2023, 10-07-2023, 18-08-2023, 12-09-2023, 21-09-2023, 04-12-2023, 08-12-2023, 10-01-2024, 21-05-2024",12
88,"733, 4132, 7121, 3022, 2210, 2, 1239, 3325, 262, 554, 3473, 1498, 7837","15-04-2023, 29-08-2023, 23-10-2023, 03-11-2023, 20-12-2023, 23-12-2023, 04-01-2024, 26-03-2024, 02-04-2024, 15-05-2024, 12-06-2024, 30-08-2024, 12-10-2024",13
89,"1583, 5349, 2930, 5013, 5998, 449, 1225, 2, 2049","16-02-2023, 27-02-2023, 25-04-2023, 02-06-2023, 05-06-2023, 22-06-2023, 13-11-2023, 13-01-2024, 09-04-2024",9
90,"2, 703, 789, 5997","27-01-2024, 21-02-2024, 11-04-2024, 09-09-2024",4
91,"4027, 3290, 3290, 3290, 3290, 6452, 6802, 6802, 6802, 2698, 6979, 6979, 7215, 7215, 7215, 7215, 7215, 7215, 7215, 7215, 7215, 732, 732, 732, 732, 732, 732, 732, 732, 732, 2, 2, 2, 2, 6715, 7737, 7737, 7737, 7737, 7737, 7737, 7578, 7578, 7578, 7578, 7578, 6145, 6145, 6145","20-01-2023, 22-02-2023, 22-02-2023, 22-02-2023, 22-02-2023, 27-04-2023, 28-04-2023, 28-04-2023, 28-04-2023, 27-06-2023, 21-09-2023, 21-09-2023, 22-09-2023, 22-09-2023, 22-09-2023, 22-09-2023, 22-09-2023, 12-10-2023, 12-10-2023, 12-10-2023, 12-10-2023, 09-12-2023, 09-12-2023, 09-12-2023, 09-12-2023, 16-12-2023, 16-12-2023, 16-12-2023, 16-12-2023, 16-12-2023, 27-01-2024, 27-01-2024, 27-01-2024, 27-01-2024, 21-05-2024, 07-06-2024, 07-06-2024, 07-06-2024, 07-06-2024, 07-06-2024, 07-06-2024, 21-08-2024, 21-08-2024, 21-08-2024, 21-08-2024, 21-08-2024, 04-10-2024, 04-10-2024, 04-10-2024",49
